Year protection applied,Where filed,Who,Tech field,Patent #,more date info,Title/summary in English,Sources and notes  (see Sources worksheet for details),Original language patent title (or closest available info),Supplementary to,related to aircraft?,date applied for,date granted,Global patent id,,,,,
1888,br,"Farini, Guillermo Antonio, and Thomas Scott Baldwin",,10937, ,Parachute,BA1893,Parachute,,1,,,,,,,,
1888,br,"Lorrain, James Grieve",,11354, ,Electrical propulsion,BA1893,Electrical propulsion,,1,,,,,,,,
1888,br,"Hilfreich, Francis",,12736, ,Navigable balloon,BA1893,Navigable balloon,,1,,,,,,,,
1888,br,"Monteith, Joseph",,14610, ,Balloon railway,BA1893,Balloon railway,,1,,,,,,,,
1889,br,"Worms, James",,47, ,Navigable balloon,BA1893,Navigable balloon,,1,,,,,,,,
1889,br,"Edwards, Edmund",,1671, ,Navigable balloon,BA1893,Navigable balloon,,1,,,,,,,,
1889,br,"Craig, John",,3360, ,Flying machine,BA1893,Flying machine,,1,,,,,,,,
1889,br,"Bastard, William John",,3957, ,Navigable balloon,BA1893,Navigable balloon,,1,,,,,,,,
1889,br,"Dale, William Duncombe",,4301, ,Balloon parachute,BA1893,Balloon parachute,,1,,,,,,,,
1889,br,"Rieckert, Herman August Julius, and Albert Emil Karl Rieckert",,4811, ,Navigable balloon,BA1893,Navigable balloon,,1,,,,,,,,
1889,br,"Chambers, Jesse Mary",,6419, ,Propelling balloons,BA1893,Propelling balloons,,1,,,,,,,,
1889,br,"Zimer, Frederick William",,7427, ,Navigable balloon,BA1893,Navigable balloon,,1,,,,,,,,
1889,br,"Maxim, Hiram Stevens",,10359,1889/03/05,Steam engine,"Neilson, 1910 p.16",Steam engine,,1,,,,,,,,
1889,br,"Robinson, George",,11108, ,Aerial machine,BA1893,Aerial machine,,1,,,,,,,,
1889,br,"Thayer, David",,12320, ,Kites,BA1893,Kites,,1,,,,,,,,
1889,br,"Davisdson, George Louis Outram",,13207, ,Aerial machine,BA1893,Aerial machine,,1,,,,,,,,
1889,br,"Otto, Edward Charles Frederick, and Edward Charles Frederick Otto, Jr.",,14737, ,Navigating balloons and flying machines,BA1893,Navigating balloons and flying machines,,1,,,,,,,,
1889,br,"Maxim, Hiram Stevens",,16883,1889/10/25,Altitude control for flying machine,"BA1893 ; Neilson 1910, p16-18",Altitude control for flying machine ; wing tip ; auxiliary planes ; propeller …,,1,,,,,,,,
1889,br,"Howson, William",,18952, ,War balloons,BA1893,War balloons,,1,,,,,,,,
1889,br,"Tielke-Allan, Francis Henrick",,19209, ,Navigable balloon,BA1893,Navigable balloon,,1,,,,,,,,
1890,br,"Radotinsky, Josef",,4647, ,Balloon,BA1893,Balloon,,1,,,,,,,,
1890,br,"Grey, Ernest Howard",,5404, ,Navigable balloon,BA1893,Navigable balloon,,1,,,,,,,,
1890,br,"Harris, Henry Marmaduke",,8816, ,Aerial machine,BA1893,Aerial machine,,1,,,,,,,,
1890,br,"Cairncross, Stewart",,11455, ,Navigable balloon,BA1893,Navigable balloon,,1,,,,,,,,
1890,br,"Griffiths, Thomas, and Thomas Henry Willoughby Beddoes",propulsion,12349,1890/08/07,Jet propulsion,"BA1893 ; Neilson 1910, p18",Jet propulsion,,1,,,,,,,,
1890,br,"Huelser, Charles",,13099, ,Navigable balloon,BA1893,Navigable balloon,,1,,,,,,,,
1890,br,"Moore, Ross Franklin",,13311, ,Flying machine,BA1893,Flying machine,,1,,,,,,,,
1890,br,"Boult, Alfred Julius",,15332, ,Balloon railway,BA1893,Balloon railway,,1,,,,,,,,
1890,br,"Wells, Clara Louisa",,15850, ,Balloon railway,BA1893,Balloon railway,,1,,,,,,,,
1890,br,"Phillips, Horatio Frederick",,20435, ,Flying machine,BA1893,Flying machine,,1,,,,,,,,
1890,br,"Hutchinson, William Nelson",,21241, ,Balloons,BA1893,Balloons,,1,,,,,,,,
1891,br,"Sinclair, William Houston",,1555, ,Navigable balloons,BA1893,Navigable balloons,,1,,,,,,,,
1891,br,"Hutchinson, William Nelson",,1943, ,Balloons,BA1893,Balloons,,1,,,,,,,,
1891,br,"Munns, William Henry",,4090, ,Application of balloon,BA1893,Application of balloon,,1,,,,,,,,
1891,br,"Nahl, Perham Wilhelm",,4485, ,Navigable balloon,BA1893,Navigable balloon,,1,,,,,,,,
1891,br,"Boult, Alfred Julius",,8142, ,Navigable balloon,BA1893,Navigable balloon,,1,,,,,,,,
1891,br,"Newton, Alfred Vincent",,11212, ,Motive power,BA1893,Motive power,,1,,,,,,,,
1891,br,"Fyers, William Augustus",,12403, ,Balloon,BA1893,Balloon,,1,,,,,,,,
1891,br,"Edwards, Edmund",,12669, ,Birds-eye photography,BA1893,Birds-eye photography,,1,,,,,,,,
1891,br,"Phillips, Horatio Frederick",airfoils,13311,applied for: 1891/08/06,Flying machines,"BA1893; Neilson p15,16; related to patent UK1884-13768",Flying machines,,1,,,UK1891-13311,,,,,
1891,br,"Moy, Thomas",,14742, ,Governing aerial machines,BA1893,Governing aerial machines,,1,,,,,,,,
1891,br,"Griffiths, Thomas, and Thomas Henry Willoughby Beddoes",,16033, ,Balloon,BA1893,Balloon,,1,,,,,,,,
1891,br,"Maxim, Hiram Stevens",,19228, ,Flying machine,BA1893,Flying machine,,1,,,,,,,,
1891,br,"Brewer, William John",,19245, ,Navigable balloon,BA1893,Navigable balloon,,1,,,,,,,,
1891,br,"Hutchinson, William Nelson",,20032, ,Balloons,BA1893,Balloons,,1,,,,,,,,
1891,br,"Le Compagnon, Armand, Zelie (Vve) Faucillon, Georges Joseph Prosper Dubois, and Emile Aleide Royaux",,21580, ,Navigable balloon,BA1893,Navigable balloon,,1,,,,,,,,
1891,br,"Middleton, Henry",,21885, ,Flying machines,BA1893,Flying machines,,1,,,,,,,,
1893,br,"Barnett, H. T.",,2557,1893/02/06,Counter-rotating propellers,"Neilson, 1910 p.19",Counter-rotating propellers,,1,,,,,,,,
1895,br,"Lilienthal, Otto",,2519,1895/05/29,Flying machine,Lilienthal museum ; http://www.museumnet.lilienthal-museum.de/objekta.aspx?id=61,Flying Machine,,1,,,,,,,,
1895,br,"Pennington, E. J.",control,25050,1895/12/31,Automatically controlled vertical and horizontal rudders,"Neilson, 1910 p.20",Automatically controlled vertical and horizontal rudders,,1,,,,,,,,
1897,br,"Lanchester, F. W.",control,3608,1897/02/10,Flying machine,"Neilson, 1910 p20-22",Flying machine with automatic rudder control ; mentions angling the wings rather like ailerons,,1,,,,,,,,
1897,br,"Maxim, Hiram Stevens",control,10620,1897/04/28,Control – stabilizing by differential power,"Neilson, 1910 p22-23","Control – stabilizing by differential power ; ""The inventor describes a pendulum stability device according to which the tilting of the machine controls the power of the engines which drive the screw propellers so that the machine is automatically righted. Lifting and driving screws are described in which the forward edge of each blade is rigid while the rear edge is flexible, and controlled by a spring which can yield if the propeller is subjected to undue stress.  It is stated that the tension of the springs controlling the flexible edges of the blades may be increased or diminished at the will of the aviator."" (Neilson, p23)  Adjustment of the angle of the incidence of the blades for control.   ",,1,,,,,,,,
1897,br,"Chanute, Octave",glider,13372,1897/05/31,Improvements relating to flying machines,"Neilson, 1910 p.23 ; http://worldwide.espacenet.com/publicationDetails/biblio?DB=EPODOC&II=5&ND=3&adjacent=true&locale=en_gb&FT=D&date=18980402&CC=GB&NR=189713372A&KC=A",Improvements in and relating to Flying Machines,,1,,,,,,,,
1897,br,"Chanute, Octave",,13373,1897/05/31,Flying Machines,"http://www.spicerweb.org/chanute/biblio2.aspx ; 1898, 2 Apr.  ""Improvements in and relating to Flying Machines."" ",Flying Machines ; COMBINE WITH 15221 somehow,,1,1897/05/31,1898/04/02,,,,,,
1897,br,"Chanute, Octave ; Herring, A.M. ; Moy, T. as agent",,15221,1897/05/31,Improvements in or relating to means and appliances for effecting Aerial Navigation,"Neilson, 1910, p24 ; http://www.spicerweb.org/chanute/biblio2.aspx ; 1897, 25 June. ""Improvements in or relating to Means and Appliances for Effecting Aerial Navigation ( = triplane with engine, as well as a biplane)"". ",Improvements in or relating to means and appliances for effecting Aerial Navigation,,1,1897/05/31,1897/06/25,,,,,,
1897,br,"Carter, W. T.",propulsion,30932,1897/12/31,Counter-rotating propellers,"Neilson, 1910 p.19",Counter-rotating propellers,,1,,,,,,,,
1903,br,"Brennan, L.",stability,27212,1903/12/11,Gyroscopic stabilization,"Neilson, 1910 p. 25",Gyroscopic stabilization,,1,,,,,,,,
1904,br,"Adams, H.",,4901,1904/02/27,Propellers,"Neilson, 1910 p.26",Propellers,,1,,,,,,,,
1904,br,"Wright, Orville & Wilbur",,6732,1904/03/19,Wing-warping,"Neilson, 1910 p.27",Wing-warping,,1,,,,,,,,
1905,br,"Simms, F. R.",,25395,1905/12/06,Gyroscopic stabilization,"Neilson, 1910 p25-26",Gyroscopic stabilization,,1,,,,,,,,
1906,br,"Hansen-Ellehammer, J. C.",,7377,1906/03/27,stabilization device,"Neilson, 1910 p.29",stabilization device,,1,,,,,,,,
1906,br,"Harper, W.",,16626,1906/07/23,Engine,"Neilson, 1910 p.30",Engine,,1,,,,,,,,
1906,br,"Cochrane, William",,21884,1906/10/04,Improvements in and relating to Dirigable Flying Machines and Airships,"AJ, Jan 1907, p. 23",Improvements in and relating to Dirigable Flying Machines and Airships,,1,,,,,,,,
1906,br,"Forster, E.J.",,22352,1906/10/10,Aeroplane Flying Machine,"AJ, Jan 1907, p. 24",Aeroplane Flying Machine,,1,,,,,,,,
1906,br,F. Simmons and J.W. Murcutt,,22517,1906/10/11,"Improvements in Controllers or Governors for Steam and other engines or Motors, Motor Propelled, Vehicles, and vessels of all kinds, including Submarines, Flying Machines, and the like","AJ, Jan 1907, p. 24","Improvements in Controllers or Governors for Steam and other engines or Motors, Motor Propelled, Vehicles, and vessels of all kinds, including Submarines, Flying Machines, and the like",,1,,,,,,,,
1906,br,"Gibson, W.R.",,22977,1906/10/17,Improvements in Box Kites or analogous Aerial Toys,"AJ, Jan 1907, p. 24",Improvements in Box Kites or analogous Aerial Toys,,1,,,,,,,,
1906,br,"Garsed, J.L.",,23036,1906/10/18,"Improvements in Wings, Vanes, or Propellers for Aerial Machines","AJ, Jan 1907, p. 24","Improvements in Wings, Vanes, or Propellers for Aerial Machines",,1,,,,,,,,
1906,br,"Garsed, J.L.",,23037,1906/10/18,Improvements in method of and means employed for propelling and steering Aerial Machines,"AJ, Jan 1907, p. 24",Improvements in method of and means employed for propelling and steering Aerial Machines,,1,,,,,,,,
1906,br,"Passat, J.B.",,23085,1906/10/22,New Aeroplane-Orthoptere,"AJ, Jan 1907, p. 24",New Aeroplane-Orthoptere,,1,,,,,,,,
1906,br,"Chenhall, J.S.",,23415,1906/10/23,"Improvements in Electrical Aerial Apparatus for the conveyance of passengers, goods, and the like","AJ, Jan 1907, p. 24","Improvements in Electrical Aerial Apparatus for the conveyance of passengers, goods, and the like",,1,,,,,,,,
1906,br,"Witchell, C.A.",,23476,1906/10/23,Imporvements in conection with Mechanisms for Learning to Fly,"AJ, Jan 1907, p. 24",Imporvements in conection with Mechanisms for Learning to Fly,,1,,,,,,,,
1906,br,"Gillman, B.L.",,23493,1906/10/26,Improved kite,"AJ, Jan 1907, p. 24",Improved kite,,1,,,,,,,,
1906,br,"Bergeron, A.J.",,23855,1906/10/26,Tailless Kite which can be taken to pieces,"AJ, Jan 1907, p. 24",Tailless Kite which can be taken to pieces,,1,,,,,,,,
1906,br,"Balston, R.M.",,23872,1906/10/30,Improvements in relation to Kites and similar apparatus for Aerial Flight,"AJ, Jan 1907, p. 24",Improvements in relation to Kites and similar apparatus for Aerial Flight,,1,,,,,,,,
1906,br,"Garsed, J.L.",,24122,1906/10/30,Improvements in Aeroplanes or Aerostats,"AJ, Jan 1907, p. 24",Improvements in Aeroplanes or Aerostats,,1,,,,,,,,
1906,br,A.B. Taylor and William Tooley,,24140,1906/10/30,Musical Kites,"AJ, Jan 1907, p. 24",Musical Kites,,1,,,UK1906-24140,,,,,
1906,br,"Garsed, J.L.",,24489,1906/11/02,Improvements in Aeroplanes or Aerostats,"AJ, Jan 1907, p. 24",Improvements in Aeroplanes or Aerostats,,1,,,,,,,,
1906,br,"Blunt, A.H.P.",,25387,1906/11/10,Improved Flying Machine,"AJ, Jan 1907, p. 24",Improved Flying Machine,,1,,,,,,,,
1906,br,"Roe, A.V.",,26099,1906/11/19,Improvements in Flying Machines,"AJ, Jan 1907, p. 24",Improvements in Flying Machines,,1,,,,,,,,
1906,br,S.R. Smith and G. Perry,,26588,1906/11/23,Flying Machines,"AJ, Jan 1907, p. 24",Flying Machines,,1,,,,,,,,
1906,br,"Hipwell, D.E.",,26602,1906/11/23,Improvements in Flying Machines,"AJ, Jan 1907, p. 24",Improvements in Flying Machines,,1,,,,,,,,
1906,br,"Lodge, A.M.",,26612,1906/11/23,"Improvements in and relating to the maintenance of stability in Airships, Flying Machines, and the like","AJ, Jan 1907, p. 24","Improvements in and relating to the maintenance of stability in Airships, Flying Machines, and the like",,1,,,,,,,,
1906,br,"Vaniman, M.",,26764,1906/11/24,Improvements in Aeroplanes,"AJ, Jan 1907, p. 24",Improvements in Aeroplanes,,1,,,,,,,,
1906,br,"Adams, B.R.",,26784,1906/11/26,Improved form of Propeller for Flying Machines,"AJ, Jan 1907, p. 24",Improved form of Propeller for Flying Machines,,1,,,,,,,,
1906,br,"Porter, J.R.",,27000,1906/11/27,Improvements in Airships and in apparatus for propelling the same,"AJ, Jan 1907, p. 24",Improvements in Airships and in apparatus for propelling the same,,1,,,,,,,,
1906,br,"Frie, A.A.",,27141,1906/11/29,Improvements in Flying Machines,"AJ, Jan 1907, p. 24",Improvements in Flying Machines,,1,,,,,,,,
1906,br,"Johnson, H.H.",,27266,1906/11/30,Improvements in Airships,"AJ, Jan 1907, p. 24",Improvements in Airships,,1,,,,,,,,
1906,br,"Thompson, W.P.",,27312,1906/11/30,Improvements in or appertaining to Aerostats,"AJ, Jan 1907, p. 24",Improvements in or appertaining to Aerostats,,1,,,,,,,,
1906,br,"van de Weyde, H.",,27528,1906/12/03,Improvements in Balons both ordinary and dirigible,"AJ, Jan 1907, p. 24",Improvements in Balons both ordinary and dirigible,,1,,,,,,,,
1906,br,"Friese-Greene, W.",,28270,1906/12/11,Improvements in and relating to Air Cars or Airships,"AJ, Jan 1907, p. 24",Improvements in and relating to Air Cars or Airships,,1,,,,,,,,
1906,br,"Jones, E.",,28386,1906/12/12,Improvements in Flying Machines,"AJ, Jan 1907, p. 24",Improvements in Flying Machines,,1,,,,,,,,
1906,br,"Clarke, T.W.K.",,28710,1906/12/15,Improvements in Aeronautical Machines,"AJ, Jan 1907, p. 24",Improvements in Aeronautical Machines,,1,,,,,,,,
1906,br,"Murray, W. E.",,29308,1906/12/22,propeller drive,"Neilson, 1910 p.32",propeller drive,,1,,,,,,,,
1907,br,"Davidson, G. L. O.",,1960,1907/01/25,stabilization device,"Neilson, 1910 p.33",stabilization device,,1,,,,,,,,
1907,br,"Lanchester, F. W.",,9413,1907/4/23,Flyin machine & prop drive,"Neilson, 1910 p.35",Flyin machine & prop drive,,1,,,,,,,,
1907,br,"Simms, F. R.",stabilization,15796,1907/07/09,Gyroscopic stabilization,"Neilson, 1910 p25-26",Gyroscopic stabilization,,1,,,,,,,,
1907,br,"Colquhoun, J. A.",,17366,1907/06/29,stabilization device,"Neilson, 1910 p.37",stabilization device,,1,,,,,,,,
1907,br,"Hennebique, F.",,26000,1907/11/23,Stabilizing propellers,"Neilson, 1910 p.37",Stabilizing propellers,,1,,,,,,,,
1907,br,"Straka, J.",,27408,1907/12/11,propeller drive,"Neilson, 1910 p.38",propeller drive,,1,,,,,,,,
1907,br,"Esnault-Pelterie, R.",,28034,1907/12/19,Steering & equilibrium mechanism,"Neilson, 1910 p.39",Steering & equilibrium mechanism,,1,,,,,,,,
1908,br,"Neyen, E.",,84,1908/01/01,Improvements in steerable aerodynamic airships,"AJ, April 1908, p. 46",Improvements in steerable aerodynamic airships,,1,,,,,,,,
1908,br,"Esnault-Pelterie, R.",,221,1908/01/03,Improvements in aeroplanes,"AJ, April 1908, p. 46",Improvements in aeroplanes,,1,,,,,,,,
1908,br,"Wooswam, R.B.",,528,1908/01/09,Improvements in and relating to flying machines without aerostats,"AJ, April 1908, p. 46",Improvements in and relating to flying machines without aerostats,,1,,,,,,,,
1908,br,"Fozer, J., and Foot, I.",,589,1908/01/10,Improvements in airships,"AJ, April 1908, p. 47",Improvements in airships,,1,,,,,,,,
1908,br,"Garsed, J.L.",,1035,1908/01/16,Improvements in or connected to with aerial machines,"AJ, April 1908, p. 47",Improvements in or connected to with aerial machines,,1,,,,,,,,
1908,br,"Esnault-Pelterie, R.",,1258,1908/01/18,Improvements in aeroplanes or flying machines,"AJ, April 1908, p. 47",Improvements in aeroplanes or flying machines,,1,,,,,,,,
1908,br,"Wunderlich, A.",,1307,1908/01/20,Improvements in or relating to motor flying machines,"AJ, April 1908, p. 47",Improvements in or relating to motor flying machines,,1,,,,,,,,
1908,br,"Sainte-Beuve, A.",,1438,1908/01/21,Improvements in and relating to sheds and like structures for housing balloons and other purposes,"AJ, April 1908, p. 47",Improvements in and relating to sheds and like structures for housing balloons and other purposes,,1,,,,,,,,
1908,br,"Phillips, H.F.",,1449,1908/01/21,Improvements in or relating to flying machines,"AJ, April 1908, p. 47",Improvements in or relating to flying machines,,1,,,,,,,,
1908,br,"Wilson, W.I.",,1569,1908/01/22,"Apparatus or device for producing currents in fluids or acting inversely as a fluid current motor applicable for marine, submarine, and aerial propulsion and steering and for pumping, excavating, lifting, dredging and the like","AJ, April 1908, p. 47","Apparatus or device for producing currents in fluids or acting inversely as a fluid current motor applicable for marine, submarine, and aerial propulsion and steering and for pumping, excavating, lifting, dredging and the like",,1,,,,,,,,
1908,br,"Ferrero, M.",,1593,1908/01/23,Improvements in or relating to apparatus for aerial navigation,"AJ, April 1908, p. 47",Improvements in or relating to apparatus for aerial navigation,,1,,,,,,,,
1908,br,"Herren, O.",,1683,1908/01/24,Improvements in aeroplanes,"AJ, April 1908, p. 47",Improvements in aeroplanes,,1,,,,,,,,
1908,br,"Wilson, J.",,2493,1908/02/04,Improvements in airships,"AJ, April 1908, p. 47",Improvements in airships,,1,,,,,,,,
1908,br,"Bleriot, L.",,2588,1908/02/05,Improvements in or relating to balancing and steering apparatus,"AJ, April 1908, p. 47",Improvements in or relating to balancing and steering apparatus,,1,,,,,,,,
1908,br,"Thompson, W.P.",,2651,1908/02/06,Improvements in flying machines,"AJ, April 1908, p. 47",Improvements in flying machines,,1,,,,,,,,
1908,br,"Shearer, D.F.",,2793,1908/02/07,Improvements in or relating to flying machines,"AJ, April 1908, p. 47",Improvements in or relating to flying machines,,1,,,,,,,,
1908,br,"Dunne, J.W., and Huntington, A.K.",,2808,1908/02/07,Improvements in and relating to aeroplanes,"AJ, April 1908, p. 47",Improvements in and relating to aeroplanes,,1,,,,,,,,
1908,br,"Howard, W.F.",,2907,1908/02/10,Improvements in aeroplanes,"AJ, April 1908, p. 47",Improvements in aeroplanes,,1,,,,,,,,
1908,br,"Alderson, F.J.",,3029,1908/02/11,"Improved motive power for aeroplanes, balloons, and war projectiles","AJ, April 1908, p. 47","Improved motive power for aeroplanes, balloons, and war projectiles",,1,,,,,,,,
1908,br,"Blood, N.",,3479,1908/02/15,Improvements in or relating to flying machines,"AJ, April 1908, p. 47",Improvements in or relating to flying machines,,1,,,,,,,,
1908,br,"Todd, H.L.",,3538,1908/02/17,Improvements in aeroplanes,"AJ, April 1908, p. 47",Improvements in aeroplanes,,1,,,,,,,,
1908,br,"Goodacre, H.",,3909,1908/02/20,Improvements in aeroplanes,"AJ, April 1908, p. 47",Improvements in aeroplanes,,1,,,,,,,,
1908,br,"Cooper, H.H.",,4054,1908/02/22,"Improvements in or relating to the propelling apparatus of balloons, airships, and the like","AJ, April 1908, p. 47","Improvements in or relating to the propelling apparatus of balloons, airships, and the like",,1,,,,,,,,
1908,br,"Batchelor, J.G.H.",,4055,1908/02/22,"Improvements in propellers and other blaed apparatus of balloons, airships, and the like","AJ, April 1908, p. 47","Improvements in propellers and other blaed apparatus of balloons, airships, and the like",,1,,,,,,,,
1908,br,"Edwards, A.H.",,4519,1908/02/28,"Improvements in or relating to aeroplanes or the like, or analogous machines or devices","AJ, April 1908, p. 47","Improvements in or relating to aeroplanes or the like, or analogous machines or devices",,1,,,,,,,,
1908,br,"Westaway, J.",,4677,1908/03/02,Improvements in or connected with aeronautical machines,"AJ, April 1908, p. 47",Improvements in or connected with aeronautical machines,,1,,,,,,,,
1908,br,"Hollands, S.H.",,4769,1908/03/03,Improvements in aerial propellers and air-propelling screw fans,"AJ, April 1908, p. 47",Improvements in aerial propellers and air-propelling screw fans,,1,,,,,,,,
1908,br,Motorluftschiff-Studienges,,4788,1908/03/03,Improvements in a non-rigid air-screw with fly weights,"AJ, April 1908, p. 47",Improvements in a non-rigid air-screw with fly weights,,1,,,,,,,,
1908,br,Motorluftschiff-Studienges,,4789,1908/03/03,Improvements in a process and device for regulating the inclination of an oblong aerostat or airship by means of two air bags,"AJ, April 1908, p. 47",Improvements in a process and device for regulating the inclination of an oblong aerostat or airship by means of two air bags,,1,,,,,,,,
1908,br,"Davis, C.",,4813,1908/03/03,Improvements in means for use with balloons and other air vessels for indicating air currents,"AJ, April 1908, p. 47",Improvements in means for use with balloons and other air vessels for indicating air currents,,1,,,,,,,,
