"Year protection applied","Where filed","Who","Tech field","Patent #","more date info","Title/summary in English","Sources and notes  (see Sources worksheet for details)","Notes","Original language patent title (or closest available info)","Supplementary to","related to aircraft?","date applied for","date granted","Serial no.","Global patent id"
1899,"fr","Giampietro","Airplane",287459,"1899/04/01","Steerable aircraft improvement","L'Aerophile Sep 1899 p108",,"Perfectionnements dans les bateaux aériens dirigeables",,1,,,,
1899,"fr","Fritsch","Airplane",287754,"1899/04/12","System for testing flying machines and for learning to fly","L'Aerophile Sep 1899 p108",,"Dispositif pour essayer les appareils à voler et pour apprendre l'aviation",,1,,,,
1899,"fr","Pompeien-Piraud","Airplane",288601,"1899/05/10","Pompeien airplane","L'Aerophile Dec 1899 p154",,"Appareil de navigation aérienne dit Aéroplane Pompeien",,1,,,,
1899,"fr","Dietrich","instrument",289333,"1899/05/29","Pocket sundial with compass","L'Aerophile Dec 1899 p154",,"Cadran solaire de poche avec boussole",,1,,,,
1899,"fr","Maginot & Lumereaux","Engine",289494,"1899/06/05","Air engine","L'Aerophile Dec 1899 p154",,"Moteur aérien",,1,,,,
1899,"fr","Strauss","instrument",289654,"1899/06/06","Pocket compass","L'Aerophile Dec 1899 p154",,"Guide-boussole de poche ou appareil servant à trouver instantanément la direction d'un point à un autre dans une zone déterminée",,1,,,,
1899,"fr","Almerico da Schio","LTA",290248,"1899/06/24","Elastic hull for airships","L'Aerophile Dec 1899 p154",,"Carène élastique pour aérostats dirigeables",,1,,,,
1899,"fr","D'Azevedo Macedo","??",290488,"1899/07/03","Improvements for aerial navigation","L'Aerophile Dec 1899 p154",,"Perfectionnements à la navigation aérienne",,1,,,,
1899,"fr","Robart","Propulsion",290494,"1899/07/07","Air propeller for lift","L'Aerophile Dec 1899 p154",,"Elévateur aérien à hélices",,1,,,,
1899,"fr","Bauer","LTA",290842,"1899/07/15","Dirigible","L'Aerophile Dec 1899 p154",,"Ballon dirigeable",,1,,,,
1899,"fr","Francois & Contour","LTA",291096,"1899/07/24","Dirigible","L'Aerophile Dec 1899 p154",,"Ballon dirigeable",,1,,,,
1899,"fr","Loeper","LTA",291148,"1899/07/25","improvements for dirigibles","L'Aerophile Dec 1899 p154",,"Perfections apportés aux ballons dirigeables",,1,,,,
1899,"fr","Bonnard","LTA",291178,"1899/07/25","Using liquid hydrogen to supply gas hydrogen to balloons","L'Aerophile Dec 1899 p154",,"Utilisation de l'hydrogene liquifié pour l'alimentation des aérostats en hydrogene à l'état de gaz",,1,,,,
1899,"fr","Chaput","??",291655,"1899/08/09","“Vercingetorix” directing balloons without balloons","L'Aerophile Dec 1899 p154",,"""Le Vercingétorix"", direction des ballons sans ballon",,1,,,,
1899,"fr","Baumann, Mlle","??",292124,"1899/08/30","Air and sea vehicle","L'Aerophile Aug 1900 p108",,"Véhicule maritime et aérien",,1,,,,
1899,"fr","Cornet","Airplane",292331,"1899/09/09","Apparatus called Aerodrome designed for aerial navigation by heavier-than-air","L'Aerophile Aug 1900 p108",,"Appareil dénommé aérodrome et destinés à la navigation aérienne par le plus lourd que l'air",,1,,,,
1899,"fr","Bousson","Airplane",292828,"1899/09/26","Flying machine","L'Aerophile Aug 1900 p108",,"Appareil destiné au vol méchanique dit l'autoaviateur",,1,,,,
1899,"fr","Perzina","Engine?",294357,"1899/11/15","Aeromotor","L'Aerophile Aug 1900 p108",,"Aéromoteur",,1,,,,
1899,"fr","Krocker","Propulsion",294871,"1899/12/02","Propulsor for balloons","L'Aerophile Aug 1900 p108",,"Propulseur pour vaisseaux aérostatiques",,1,,,,
1899,"fr","Diélitz","Airplane",295086,"1899/12/09","Flying machine, after the system of Buttenstedz","L'Aerophile Aug 1900 p108",,"Appareil volant, d'après le système Buttenstedz",,1,,,,
1899,"fr","Gars","instrument",295364,"1899/12/18","Telescope","L'Aerophile Aug 1900 p108",,"Moyens de la vision à distance",,1,,,,
1899,"fr","Duguet & de Golstein","LTA",295575,"1899/11/27","Balloon platform","L'Aerophile Aug 1900 p108",,"Système d'aérostat à plate-forme supérieure",,1,,,,
1900,"fr","Bougouin","Propulsion",296846,2/6/1900,"A drum of propellers","L'Aerophile Aug 1900 p108",,"Application d'un tambour aux hélices de la navigation et des aérostats",,1,,,,
1900,"fr","Fauquenoy","Airplane",296945,2/6/1900,"“The Airbike”","L'Aerophile Aug 1900 p108",,"Nouvelle machine aérienne dénommée le vélo-air",,1,,,,
1900,"fr","Von Schoenermarck","balloon",297945,3/7/1900,"Balloon","L'Aerophile Aug 1900 p108",,"Aérostat",,1,,,,
1900,"fr","Fauchon","??",298030,3/10/1900,"Steerable aerial vehicle","L'Aerophile Aug 1900 p108",,"Système de véhicule aériene dirigeable",,1,,,,
1900,"fr","Boutaric","??",298255,3/16/1900,"New aviator system","L'Aerophile Aug 1900 p108",,"Nouveau système d'aviateur",,1,,,,
1900,"fr","Pieri","LTA",298692,3/28/1900,"improved propulsion and maneuvering system for steerable balloons","L'Aerophile Aug 1900 p108",,"Système perfectionné de propulsion et de manoeuvre des ballons dirigeables",,1,,,,
1900,"fr","Danilevsky","Airplane",299421,4/19/1900,"Flying machine","L'Aerophile Aug 1900 p108",,"Appareil d'aviation",,1,,,,
1900,"fr","Schmutz","??",299622,3/27/1900,"Steerable aerial machine","L'Aerophile Aug 1900 p108",,"Machine dite l'aérienne dirigeable Schmutz",,1,,,,
1900,"fr","Paget","Propulsion",299647,4/24/1900,"applicable to air, rivers or seas","L'Aerophile Aug 1900 p108",,"Système de propulseur applicable à la navigation aérienne, fluviale et maritime",,1,,,,
1900,"fr","Markl","LTA",299730,4/26/1900,"Wing for maneuvering and steering balloons","L'Aerophile Aug 1900 p108",,"Aile pour manoeuvrer et diriger les aérostats",,1,,,,
1900,"fr","Fauchon","Engine",299882,5/1/1900,"Light liquid hydrogen motor","L'Aerophile Aug 1900 p108",,"Système de moteur léger à hydrogène liquiéfié",,1,,,,
1900,"fr","Montaudon","Propulsion",299924,5/2/1900,"by compressed air, for balloons and other apparatus","L'Aerophile Aug 1900 p108",,"Propulseur à air comprimé destiné à actionner les aérostats entre autres appareils",,1,,,,
1900,"fr","Tarbe","kite",300646,5/25/1900,"Kite","L'Aerophile Oct 1900 p144",,"Nouveau systeme de cerf-volant dit aeroplane captif",,1,,,,
1900,"fr","Dupuy","Airplane",300718,5/28/1900,"“L'Avire”","L'Aerophile Oct 1900 p144",,"“L'Avire”, machine aérienne plus lourde que l'air, utilisant, pour s'élever, la pression atmosphérique",,1,,,,
1900,"fr","De Lamoignon","LTA",300749,5/29/1900,"Steerable balloon","L'Aerophile Oct 1900 p144",,"Perfectionnements aux aérostats dirigeables",,1,,,,
1900,"fr","De Lamoignon","LTA",300750,5/29/1900,"Anti-refrigerant shirt","L'Aerophile Oct 1900 p144",,"Chemise antiréfrigérante pour aérostats",,1,,,,
1900,"fr","Turina","LTA",300873,6/1/1900,"Steerable balloon","L'Aerophile Oct 1900 p144",,"Ballon dirigeable",,1,,,,
1900,"fr","Cuyer","??",301229,6/18/1900,"New application of the inclined plane to aviation","L'Aerophile Oct 1900 p144",,"Application nouvelle du plan incliné à l'aviation",,1,,,,
1900,"fr","Hervé","control",301254,6/18/1900,"Angle (“inclination”) stabilizers for flying wings","L'Aerophile Oct 1900 p144",,"Système de stabilisateurs d'inclinaison pour sustantateurs aériens en dérive partielle dépendante",,1,,,,
1900,"fr","Bagilet","Propulsion",301265,6/19/1900,"“propulsor and aviator”","L'Aerophile Nov 1900 p160",,"Propulseur et aviateur",,1,,,,
1900,"fr","Barton","??",301940,7/6/1900,"Improvements for steerable balloons or machines for aerial navigation","L'Aerophile Nov 1900 p160",,"Perfectionnements apportés aux ballons dirigeables ou appareils de navigation aérienne",,1,,,,
1900,"fr","Kalisch","Propulsion",302029,7/10/1900,"double propellors for flying machines","L'Aerophile Nov 1900 p160",,"Propulseur a doubles hélices pour machines volantes",,1,,,,
1900,"fr","Garoutte","LTA",302078,7/11/1900,"Chariot-windlass for tethered balloons","L'Aerophile Nov 1900 p160",,"Charriot-treuil pour ballons captifs",,1,,,,
1900,"fr","Engelsmann","instrument",302174,7/13/1900,"Optical apparatus for lighting distant objects","L'Aerophile Nov 1900 p160",,"Appareil d'optique pour éclairage à distance d'objets placés dans l'espace",,1,,,,
1900,"fr","Isemann","Airplane?",302410,7/23/1900,"Apparatus for aerial navigation","L'Aerophile Nov 1900 p160",,"Appareil de navigation aérienne",,1,,,,
1900,"fr","Fabre","LTA",302448,7/24/1900,"Steerable balloon","L'Aerophile Nov 1900 p160",,"Aérostat dirigeable",,1,,,,
1900,"fr","Dubois","Airplane",302485,7/25/1900,"Airplane","L'Aerophile Nov 1900 p160",,"Système d'aéroplane",,1,,,,
1900,"fr","Moreira da Sliva","??",302815,8/6/1900,"apparatus for locomotion in air, underwater or “ordinary”: “Silva temonotor”","L'Aerophile Nov 1900 p160",,"Nouvel appareil de locomotion nommé temonotor Silva, applicable a la navigation ordinaire, sous-marine et aérienne",,1,,,,
1900,"fr","Prost-Vivant","LTA, Propulsion",303104,8/18/1900,"propulsor for steerable balloons","L'Aerophile Nov 1900 p160",,"Appareil de propulsion pour ballons dirigeables",,1,,,,
1900,"fr","Grandjean","Airplane",303522,9/5/1900,"Autoaeromobile","L'Aerophile Jan. 1901 p10",,"Appareil de navigation aérienne dit l'autoaéromobile",,1,,,,
1900,"fr","Segalewitsch","balloon",303554,9/7/1900,"Steerable balloon","L'Aerophile Jan. 1901 p10",,"Aérostat dirigeable",,1,,,,
1900,"fr","Drouillard","balloon",303813,9/17/1900,"Aerial boat, gas or hot air","L'Aerophile Jan. 1901 p10",,"Navire aérien à gaz ou à air chaud",,1,,,,
1900,"fr","Stanley","??",303843,9/18/1900,"Improvements for aerial vessels","L'Aerophile Jan. 1901 p10",,"Perfectionnements dans les vaisseaux aeriens",,1,,,,
1900,"fr","Riedinger","balloon",303871,9/19/1900,"Balloon","L'Aérophile Jan. 1901 p10",,"Aérostat",,1,,,,
1900,"fr","Riedinger","balloon",303872,9/19/1900,"Elongated balloon","L'Aérophile Jan. 1901 p10",,"Aérostat à ballon allonge",,1,,,,
1900,"fr","Kluysmans","balloon",303947,9/21/1900,"Steerable balloon","L'Aérophile Jan. 1901 p10",,"Nouveau système de ballon dirigeable",,1,,,,
1900,"fr","Freitag","control",303960,9/22/1900,"apparatus for directing movement forward or upward for a balloon or “aeronat”","L'Aérophile Jan. 1901 p10",,"Appareil servant a diriger le mouvement en avant et le mouvement ascensionnel d'un ballon ou aéronat",,1,,,,
1900,"fr","Rey","??",304190,9/30/1900,"aircraft","L'Aérophile Jan. 1901 p10",,"navire aérien",,1,,,,
1900,"fr","Filippi & Macler","Airplane",304366,10/8/1900,"“Cyclone,” apparatus for aerial navigation (see l'Aerophile Vol. 10 no. 2 Feb. 1902 p. 48)","L'Aérophile Jan. 1901 p10",,"Appareil destiné à la navigation aérienne dit <<Le Cyclone.>>",,1,,,,
1900,"fr","Ulrich","??",304429,10/11/1900,"Airship steerable by wings mounted on a hull/fuselage","L'Aérophile Jan. 1901 p10",,"Aéronef dirigeable à voiles, monte sur carene",,1,,,,
1900,"fr","Kohn","Airplane",304673,10/19/1900,"Steerable aircraft","L'Aérophile May 1901 p124",,"Navire aérien dirigeable",,1,,,,
1900,"fr","Birk","balloon",304845,10/25/1900,"Steerable balloon","L'Aérophile May 1901 p124",,"Balloon dirigeable",,1,,,,
1900,"fr","Personne de Sennevoy","balloon",305604,11/21/1900,"Variable equilibrium balloon","L'Aérophile May 1901 p124",,"Aérostat a equilibre variable ou ballon Ludion",,1,,,,
1900,"fr","Richmond","Airplane",305962,12/4/1900,"improvements for aircraft","L'Aérophile May 1901 p124",,"Perfectionnements aux navires aériens",,1,,,,
1900,"fr","Baldensperger","balloon",306242,12/13/1900,"Improvements for steerable balloons or machines for aerial navigation","L'Aérophile May 1901 p124",,"Perfectionnements apportés aux aérostats dirigeables",,1,,,,
1900,"fr","De Filiasi","Airplane",306473,11/22/1900,"Aeromobile","L'Aérophile May 1901 p124",,"Appareil d'aviation dit Aéromobile",,1,,,,
1900,"fr","Hervé","??",306707,12/31/1900,"Layer/plate/scale (""lamellar"") for sea or air craft?","L'Aérophile May 1901 p124",,"Déviations lamellaires maritimes aéronautiques",,1,,,,
1901,"fr","Dillon-Gregg","Airplane",307307,1/22/1901,"Flying machine","L'Aérophile May 1901 p124",,"Système de machine pour la navigation aérienne",,1,,,,
1901,"fr","Joffre","Propulsion",307323,1/22/1901,"propulsion for flying","L'Aérophile May 1901 p124",,"Système de propulseur pour la navigation aérienne",,1,,,,
1901,"fr","Gibon","balloons",307584,1/3/1901,"Steerable balloon","L'Aérophile May 1901 p124",,"Aérostat dirigeable",,1,,,,
1901,"fr","Hildebrand","Airplane",307726,2/1/1901,"Flying machine","L'Aérophile, May 1901, p124",,"Machine volante",,1,,,,
1901,"fr","Josselin","balloons",308071,2/8/1901,"Gas generator  for maneuvering balloons","L'Aérophile, Sep 1901, p232",,"Gazogène à ammoniaque au chlorure de calcium applicable à la manoeuvre des aérostats",,1,,,,
1901,"fr","Saloni","balloons",308324,2/21/1901,"Practical steerable balloon","L'Aérophile, Sep 1901, p232",,"Ballon dirigeable pratique",,1,,,,
1901,"fr","Mercier","Propulsion",308434,2/25/1901,"improvements to flat rotating blades or helicoidals for propulsion in fluids","L'Aérophile, Sep 1901, p232",,"Perfectionnements aux palettes rotatives planes ou helicoidales pour la propulsion dans les fluides",,1,,,,
1901,"fr","Juando y Rovirosa","Propulsion",308724,3/5/1901,"propulsion apparatus for aviation","L'Aérophile, Sep 1901, p232",,"Appareil propulseur pour l'aviation",,1,,,,
1901,"fr","Lombard","balloons",309331,3/25/1901,"Balloon portable mooring/tether for rescue etc.","L'Aérophile, Sep 1901, p232",,"Ballone porte-amarre pour sauvetages et autres buts",,1,,,,
1901,"fr","Groombridge & South","Propulsion",309812,4/10/1901,"improvements to propulsors for flying machines, airplanes, balloons etc.","L'Aérophile, Sep 1901, p232",,"Perfectionnements apportes aux propulseurs destines aux machines volantes, aéroplanes, ballons, etc.",,1,,,,
1901,"fr","Westphalen","Propulsion",310077,4/18/1901,"Propulsion by small wings or fins","L'Aérophile, Sep 1901, p232",,"Système de propulseur à ailettes ou nageoires",,1,,,,
1901,"fr","Villard","Airplane",310158,4/22/1901,"“automobile aerien”","L'Aérophile, Sep 1901, p232",,"Automobile aérien",,1,,,,
1901,"fr","Tarczal, Roheim & Simko","kite",310239,4/24/1901,"stable kite","L'Aérophile, Sep 1901, p232",,"Cerf-volante stable",,1,,,,
1901,"fr","Bleriot","Airplane",310240,4/24/1901,"support system (“systeme d'appui”) for airplanes","L'Aérophile, Sep 1901, p232",,"Système d'appui destiné aux aéroplanes",,1,,,,
1901,"fr","Meiffren","Airplane",310850,5/14/1901,"system and apparatus for aerial navigation","L'Aérophile, Sep 1901, p232",,"Système d'appareil pour la navigation aérienne",,1,,,,
1901,"fr","Blin","kites",310881,5/15/1901,"improvements for kites","L'Aérophile, Sep 1901, p232",,"Perfectionnements aux cerfs-volants",,1,,,,
1901,"fr","De Rostaing Lisboa","balloons",311132,5/24/1901,"Dirigible balloon called ""Aeronave Brazil""","L'Aérophile, Nov 1901, p280",,"Système d'aérostat dirigeable dit Aéronave Brazil",,1,,,,
1901,"fr","Robert","balloons",311331,5/30/1901,"Dirigible balloon","L'Aérophile, Nov 1901, p280",,"Système de ballon dirigeable",,1,,,,
1901,"fr","Gavet","kite",311374,6/4/1901,"Kite for observations","L'Aérophile, Nov 1901, p280",,"Cerf-volant observatoire",,1,,,,
1901,"fr","Gavet","balloons",311900,6/21/1901,"Dirigible balloon","L'Aérophile, Nov 1901, p280",,"Ballon dirigeable  ",,1,,,,
1901,"fr","Smitter; Murat","balloons",312764,7/16/1901,"Dirigible balloon","L'Aérophile, Nov 1901, p280",,"Système d'aérostat dirigeable  ",,1,,,,
1901,"fr","Preisch","balloons",312911,7/22/1901,"Dirigible balloon","L'Aérophile, Nov 1901, p280",,"Ballon dirigeable",,1,,,,
1901,"fr","Marceau","aircraft",312971,7/25/1901,"Machine for aerial navigation called the Butterfly","L'Aérophile, Nov 1901, p280",,"Machine pour la navigation aérienne par l'aviation dite le Papillon",,1,,,,
1901,"fr","Grassl","airplane",312997,7/26/1901,"Navigable aircraft with directed wings and double-action propellers on a central axis","L'Aérophile, Nov 1901, p280",,"Appareil de navigation aérienne avec ailes à hélices à double action et ailes de direction rotative sur l'axe central",,1,,,,
1901,"fr","Bayart","balloons",313169,8/1/1901,"Dirigible balloon","L'Aérophile, Nov 1901, p280",,"Ballon dirigeable",,1,,,,
1901,"fr","Flynn","airship?",313394,8/10/1901,"Improvement for airships","L'Aérophile, Nov 1901, p280",,"Perfectionnement dans les navires aériens",,1,,,,
1901,"fr","de Dion","balloons",313642,8/20/1901,"Improvements for steerable balloons","L'Aerophile 10:3 (Mar. 1902), p72",,"Perfectionnements aux ballons dirigeables",,1,,,,
1901,"fr","de Dion","balloons",313665,8/21/1901,"Improvements for construction and propulsion of steerable balloons","L'Aerophile 10:3 (Mar. 1902), p72",,"Perfectionnements à la construction des ballons dirigeables et à leurs mécanismes de propulsion",,1,,,,
1901,"fr","Sebillot","??",313675,8/21/1901,"Improvements for aerial navigation","L'Aerophile 10:3 (Mar. 1902), p72",,"Perfectionnements dans la navigation aérienne",,1,,,,
1901,"fr","Duguet","balloons",313676,8/21/1901,"Steerable aerostat","L'Aerophile 10:3 (Mar. 1902), p72",,"Aérostat dirigeable",,1,,,,
1901,"fr","Dhennin","balloons",313682,8/24/1901,"Steerable aerostat","L'Aerophile 10:3 (Mar. 1902), p72",,"Nouveau système de ballon dirigeable",,1,,,,
1901,"fr","Hébert","Airplane",313689,8/22/1901,"New aviation apparatus, the “planophile” Georges Hebert","L'Aerophile 10:3 (Mar. 1902), p72",,"Planophile le ""Georges Hébert"", nouvel appareil d'aviation",,1,,,,
1901,"fr","Lemoine","Airplane",313758,8/24/1901,"improvements to airplanes","L'Aerophile 10:3 (Mar. 1902), p72",,"Perfectionnements aux aéroplanes",,1,,,,
1901,"fr","Delaurier","??",313796,8/26/1901,"Pyrotechnic flying","L'Aerophile 10:3 (Mar. 1902), p72",,"La navigation aérienne pyrotechnique",,1,,,,
1901,"fr","Türr","balloons",313957,9/2/1901,"New balloon","L'Aerophile 10:3 (Mar. 1902), p72",,"Nouveau système de ballon   ",,1,,,,
1901,"fr","Paquier","balloons",313962,9/3/1901,"Improvements in “aerostation”","L'Aerophile 10:3 (Mar. 1902), p72",,"Perfectionnements dans l'aérostation",,1,,,,
1901,"fr","Porak","Airplane",313995,9/4/1901,"Flying machine","L'Aerophile 10:3 (Mar. 1902), p72",,"Machine à voler",,1,,,,
1901,"fr","Vroland","balloons",314095,9/7/1901,"Steerable balloon","L'Aerophile 10:3 (Mar. 1902), p72",,"Système de ballon dirigeable",,1,,,,
1901,"fr","Riedinger","Propulsion",314146,9/10/1901,"aerostatic propeller with weight/gravity causing flying? (“a poids formant volant”)","L'Aerophile 10:3 (Mar. 1902), p72",,"Hélice aérostatique à poids formant volant",,1,,,,
1901,"fr","Maynié","balloons",314207,9/12/1901,"Steerable balloon","L'Aerophile 10:3 (Mar. 1902), p72",,"Nouveau ballon dirigeable",,1,,,,
1901,"fr","Guillaume","??",314219,9/13/1901,"Improvements to devices used in aerial navigation","L'Aerophile 10:3 (Mar. 1902), p72",,"Perfectionnements apportes aux dispositifs employés dans la navigation aérienne",,1,,,,
1901,"fr","Piatti dal Pozzo","balloons",314368,9/19/1901,"Steerable balloon","L'Aerophile 10:3 (Mar. 1902), p72",,"Aérostat dirigeable",,1,,,,
1904,"fr","Chaplet, Johannet et Fauchon-Villeplee",,348167,2/15/1904,"Airplane","L'Aérophile Mai 1905 p119",,"Aéroplane",,1,,,,
1904,"fr","Dufaux, Armand & Henri
",,348909,"1904/20/26","Airplane  FIX DATE","L'Aérophile Mai 1905 p119",,"Aéroplane",,1,,,,
1904,"fr","Klopcic",,348999,12/15/1904,"Aviation device","L'Aérophile Mai 1905 p119",,"Appareil d'aviation",,1,,,,
1904,"fr","Brown","balloon",349166,10/4/1904,"Balloon","L'Aérophile Mai 1905 p119",,"Aérostat",,1,,,,
1904,"fr","Knapper",,349169,11/17/1904,"Apparatus for imparting movement to airplanes horizontally or vertically","L'Aérophile Mai 1905 p119",,"Dispositif destiné à imprimer un mouvement horizontal ou vertical aux aéroplanes",,1,,,,
1906,"fr","Bonnet-Labranche",,393413,7/29/1906,"Improvements for airplanes","L'Aérophile Mai 1905 p119",,"Perfectionnements apportés aux aéroplanes",,,,,,
1907,"fr","Tsapenko",,394309,9/22/1907,"Orthopter device","L'Aérophile Mars 1, 1909 p117",,"Appareil d'aviation du genre orthoptère",,,,,,
1907,"fr","Hernandez",,394414,11/25/1907,"A method of tissue rubberizing","L'Aérophile Mars 1, 1909 p117",,"Procédé de caoutchoutage des tissus",,,,,,
1907,"fr","Collomb",,"394216?",11/18/1907,"Device for airplane","L'Aérophile Mars 1, 1909 p117",,"Dispositif pour aéroplane",,,,,,
1907,"fr","Martinot",,"9666/392977",8/2/1907,"First cert. to add. Taken to the patent for digital aerial locomotion","L'Aérophile Jan 1909 p15",,"1er cert. d'add. Au brevet pris pour appareil de locomotion aérienne",,,,,,
1908,"fr","Lake",,393440,6/26/1908,"Improvements on airships","L'Aérophile Jan 15, 1909 p48",,"Perfectionnements aux ballons dirigeables",,,,,,
1908,"fr","Piquerez",,393456,8/19/1908,"System comprising airplane poreurs oblique planes, with each other and provided with moving members, operating in a manner analogous to that of member birds during the flight","L'Aérophile Jan 1909 p15",,"Systeme d'aéroplane comportant des plans poreurs obliques, les uns par rapport aux autres et muni d'organes mobiles, fonctionnant d'une manière analogue à celle des membres des oiseaux pendant le vol",,,,,,
1908,"fr","D'Ecquevilley-Montjustin",,393460,8/19/1908,"Airplane","L'Aérophile Jan 1909 p15",,"Aéroplane",,,,,,
1908,"fr","Société anonyme Astra",,393510,8/21/1908,"Improvements on leaves diagramatiques barometers elevation recorders","L'Aérophile Jan 1909 p15",,"Perfectionnements aux feuilles diagramatiques des baromètres altimétriques enregistreurs",,,,,,
1908,"fr","Sociéty Siemens-Schuckert Werke G.m.b.H.",,393597,8/22/1908,"Airship","L'Aerophile Jan 1909 p15; same number twice??",,"Ballon dirigeable",,,,,,
1908,"fr","Sociéty Siemens-Schuckert Werke G.m.b.H.",,393597,8/22/1908,"Instrument for determining the direction of movement of air vehicles
","L'Aerophile Jan 1909 p15; same number twice??",,"Instrument servant à déterminer la direction de la marche des vehicules aériens",,,,,,
1908,"fr","Ricaldoni; Crocco",,393599,8/22/1908,"Improvements on a rigid frame airship","L'Aérophile Jan 1909 p15",,"Perfectionnements aux aérostats à carcasse rigide",,,,,,
1908,"fr","Thierfelder",,393651,8/25/1908,"Balloon","L'Aérophile Jan 1909 p15",,"Aérostat",,,,,,
1908,"fr","Davis",,393659,8/25/1908,"Improvements in detecting currents of air from aerial vehicles","L'Aérophile Jan 15, 1909 p48",,"Perfectionnements dans les moyens employés avec les ballons et autres vaisseaux aériens pour indiquer les courants d'air",,,,,,
1908,"fr","Ravaud",,393680,8/26/1908,"Boat airplane","L'Aérophile Jan 15, 1909 p48",,"Bateau aéroplane",,,,,,
1908,"fr","Goliesco",,393715,8/28/1908,"Aviation device","L'Aérophile Jan 15, 1909 p48",,"Appareil d'aviation",,,,,,
1908,"fr","Tariel",,393798,8/29/1908,"Apparatus for increasing propeller efficiency","L'Aérophile Jan 15, 1909 p48",,"Appareil pour l'augmentation du rendement des hélices dans leur emploi pour la propulsion et la ventilation",,,,,,
1908,"fr","Fuchs",,393896,9/3/1908,"Airship","L'Aérophile Jan 15, 1909 p48",,"Ballon dirigeable",,,,,,
1908,"fr","Aboilard",,393900,9/3/1908,"Aero-motorcycle named for Aboilard","L'Aérophile Jan 15, 1909 p48",,"Aéromotorcycle Aboilard",,,,,,
1908,"fr","Hayot",,393976,9/4/1908,"Airplane with automatic balance","L'Aérophile Jan 15, 1909 p48",,"Aéroplane à équilibre automatique",,,,,,
1908,"fr","Wagner; von Radinger",,393985,9/5/1908,"Airship frame","L'Aérophile Mars 1, 1909 p117",,"Charpente ou carcasse pour aérostats",,,,,,
1908,"fr","Esnault-Pelterie",,393995,9/5/1908,"System for starting airplane or automobile engines","L'Aérophile Jan 15, 1909 p48",,"Systéme pour la mise en marche des moteurs d'aéroplanes, d'automobiles, ou autres",,,,,,
1908,"fr","Sival",,393997,9/5/1908,"Helicopter","L'Aérophile Mars 1, 1909 p117",,"Hélicoptère",,,,,,
1908,"fr","Thayer",,394010,9/7/1908,"Airship","L'Aérophile Mars 1, 1909 p117",,"Ballon dirigeable",,,,,,
1908,"fr","Elia",,394026,9/7/1908,"Airplane","L'Aérophile Mars 1, 1909 p117",,"Aéroplane",,,,,,
1908,"fr","Societe Antoinette",,394057,9/8/1908,"Envelope for internal combustion engines","L'Aérophile Jan 15, 1909 p48",,"Enveloppe pour moteurs à explosion",,,,,,
1908,"fr","Kober",,394091,9/9/1908,"Rowing circles for airships??","L'Aérophile Mars 1, 1909 p117",,"Rames giratoires pour navires aériens",,,,,,
1908,"fr","De Caters",,394092,9/9/1908,"Improvements to airplans","L'Aérophile Mars 1, 1909 p117",,"Perfectionnements aux aéroplanes",,,,,,
1908,"fr","Rodeck",,394100,9/10/1908,"Balloon kite  ","L'Aérophile Mars 1, 1909 p117",,"Ballon cerf-volant",,,,,,
1908,"fr","Esnault-Pelterie",,394139,8/6/1908,"Mode of starting combustion engines with kerosene or other low-volatility fuels","L'Aérophile Mars 1, 1909 p117",,"Mode de démarrage des moteurs à explosion à pétrole lampant ou autre carburant peu volatil",,,,,,
1908,"fr","Dufwa",,394168,8/29/1908,"Balancing equipment for flying machines","L'Aérophile Mars 1, 1909 p117",,"Dispotif équilibrant pour machines volantes",,,,,,
1908,"fr","Despois",,394254,9/11/1908,"Airplane","L'Aérophile Mars 1, 1909 p117",,"Aéroplane",,,,,,
1908,"fr","Société anonyme Astra",,394332,9/15/1908,"Feeder device for aeronautical balloons","L'Aérophile Mars 1, 1909 p117",,"Dispositif d'alimentation de ballonnets d'appareil aéronautique",,,,,,
1908,"fr","Clément",,394365,9/16/1908,"Control apparatus for propeller to measure tensile force or thrust","L'Aérophile Mars 1, 1909 p117",,"Dispositif de commande d'une hélice permettant de mesurer l'effort de traction ou de poussée",,,,,,
1908,"fr","Pollak",,394366,9/16/1908,"Carousel airplanes","L'Aérophile Mars 1, 1909 p117",,"Manège à aéroplanes",,,,,,
1908,"fr","Chantron",,394418,5/20/1908,"Use of compressed air in (multi-tube) pistons","L'Aérophile Mars 1, 1909 p117",,"Aviateur caratérisé par l'emploi de l'air comprimé dans des pistons multitubulaires",,,,,,
1908,"fr","Société dite: Didier de Vasdényey et Cie",,394427,8/14/1908,"Procedure and device to ensure stability and direction of airplanes, airships, submarines","L'Aérophile Mars 1, 1909 p117",,"Procédé et dispositif pour assurer la stabilité des aéroplanes, aéronats, sous-marins et appareils analogues également applicable à leur direction",,,,,,
1908,"fr","Voisin, G.; Voisin, C.",,394438,8/31/1908,"Improvements to motors for road and air","L'Aérophile Mars 1, 1909 p117",,"Perfectionnements apportés aux automobiles routiers et aériens",,,,,,
1908,"fr","Platel",,394561,9/23/1908,"Semi-helical surfaces applicable to aviation","L'Aérophile Mars 1, 1909 p117",,"Système semi-hélicoidales de surfaces applicables à l'aviation",,,,,,
1908,"fr","Foucault",,394596,9/24/1908,"System for automatic lateral balance for airplanes","L'Aérophile Mars 1, 1909 p117",,"Système d'équilibre latéral automatique pour aéroplane",,,,,,
1908,"fr","Prévost",,394618,9/25/1908,"Airplane","L'Aérophile Mars 1, 1909 p117",,"Aéroplane",,,,,,
