Year granted,Where filed,Inventor(s),Tech field,Patent #,more date info,Title/summary in English,Sources,Notes,Original language patent title (or closest available info),Supplementary to patent ,related to aircraft?,date applied for,date granted,Serial no.,Global patent id,Assigned to [name (fraction); place],Patent agent,National/Local,International,
1884,br,"Phillips, Horatio Frederick",airfoil,13768,,"Blades for deflecting air; multi-planes, with camber","BA1893; Neilson p15,16, 72; see also patent UK1891-13311",Multi-planes with camber,Blades for deflecting air,,1,1884/10/17,,,UK1884-13768,,,,,
1884,br,"Armour, James",,14038,ÿ,Flying machine,BA1893; N1910 p72,,Flying machine,,1,,,,,,,,,
1884,br,"Boult, Alfred Julius",,15023,ÿ,Navigable balloon,BA1893,,Navigable balloon,,1,,,,,,,,,
1885,br,"Lake, William Robert",,1549,ÿ,Navigable balloon,BA1893,,Navigable balloon,,1,,,,,,,,,
1885,br,"Clark, Alexander Melville",,4618,ÿ,War balloons,BA1893,,War balloons,,1,,,,,,,,,
1885,br,"Bontems, B.",,5118,ÿ,Navigable balloons,BA1893; N1910 p72,,Navigable balloons,,1,,,,,,"Henderson, Arthur Charles",,,
1885,br,"Bruce, Eric Stuart",,5854,ÿ,Balloon signalling,BA1893,,Balloon signalling,,1,,,,,,,,,
1885,br,"Bate, Henry",,7727,ÿ,Balloon railway,BA1893,,Balloon railway,,1,,,,,,,,,
1885,br,"Hutchinson, William Nelson",,8567,ÿ,Testing screw propellers,BA1893,,Testing screw propellers,,1,,,,,,,,,
1885,br,"Owen, Richard George",,9193,ÿ,Flying machine,BA1893; N1910 p72,,Flying machine,,1,,,,,,,,,
1885,br,"Austin, Charles Edward, and William Burchell",,9472,ÿ,Propelling balloons,BA1893,,Propelling balloons,,1,,,,,,,,,
1885,br,"Prestwich, William Henry",,9585,ÿ,Navigable balloons,BA1893,,Navigable balloons,,1,,,,,,,,,
1885,br,"Griffiths, Thomas",propulsion,10068,,Propelling balloons; jet nozzles ejecting gases,"N1910, p16, 72",,Propelling balloons,,1,1885/08/25,,,UK1885-10068,,,,,
1885,br,"Winkler, August",,11158,ÿ,Navigable balloon,BA1893,,Navigable balloon,,1,,,,,,,,,
1885,br,"Lake, William Robert",,14827,ÿ,Navigable balloons,BA1893,,Navigable balloons,,1,,,,,,,,,
1885,br,"Archibald, Edmund Douglas",,15627,ÿ,Kite-balloon,BA1893,,Kite-balloon,,1,,,,,,,,,
1886,br,"Ybargiotia, Felipe Modet e",,1821,ÿ,Balloon railway,BA1893,,Balloon railway,,1,,,,,,,,,
1886,br,"Waelde, Jacob",,1830,ÿ,Flying machine,BA1893; N1910 p72,,Flying machine,,1,,,,,,,,,
1886,br,"Foster, J.S.",,7015,ÿ,Flying machine,BA1893; N1910 p72,,Flying machine,,1,,,,,,"Redfern, George Frederick",,,
1886,br,"Molesworth-Hepworth, Edward Newall",,7837,ÿ,Navigable balloon,BA1893,,Navigable balloon,,1,,,,,,,,,
1886,br,"Hutchinson, William Nelson",,8051,ÿ,Navigable balloons,BA1893,,Navigable balloons,,1,,,,,,,,,
1886,br,"Clark, Alexander Melville",,9452,ÿ,Navigable balloon,BA1893,,Navigable balloon,,1,,,,,,,,,
1886,br,"Lemmon, Sydney",,13901,ÿ,Aerial machine,BA1893,,Aerial machine,,1,,,,,,,,,
1887,br,"Haddan, Herbert John",,316,ÿ,Navigable balloon,BA1893,,Navigable balloon,,1,,,,,,,,,
1887,br,"Hutchinson, William Nelson",,5644,ÿ,Propelling balloons,BA1893,,Propelling balloons,,1,,,,,,,,,
1887,br,"Johnson, James Yate",,8182,ÿ,Jet propulsion,BA1893,,Jet propulsion,,1,,,,,,,,,
1887,br,"Gustafson, Wald",,8255,ÿ,Navigable balloon,BA1893,,Navigable balloon,,1,,,,,,,,,
1887,br,"Ribeiro, Joaquim Ignacio",,8386,ÿ,Navigable balloon,BA1893,,Navigable balloon,,1,,,,,,,,,
1887,br,"Norman, John James",,9665,ÿ,Inflating fire-balloons,BA1893,,Inflating fire-balloons,,1,,,,,,,,,
1887,br,"Thompson, William Phillips",,11941,ÿ,Propelling and regulating,BA1893,,Propelling and regulating,,1,,,,,,,,,
1887,br,"Lane, Howard",,15567,ÿ,Making balloons,BA1893,,Making balloons,,1,,,,,,,,,
1888,br,"Parkinson, George Seaborn",,508,ÿ,Navigable balloon,BA1893,,Navigable balloon,,1,,,,,,,,,
1888,br,"Apraxin, Count Anton",,4552,ÿ,Balloon railway,BA1893,,Balloon railway,,1,,,,,,,,,
1888,br,"Gaggino, Giovanni",,5742,ÿ,Navigable balloons,BA1893,,Navigable balloons,,1,,,,,,,,,
1888,br,"Beugger, John",,9448,ÿ,Navigable balloon,BA1893,,Navigable balloon,,1,,,,,,,,,
1888,br,"Middleton, Henry",,9725,ÿ,Flying machine,BA1893; N1910 p72,,Flying machine,,1,,,,,,,,,
1888,br,"Farini, Guillermo Antonio, and Thomas Scott Baldwin",,10937,ÿ,Parachute,BA1893,,Parachute,,1,,,,,,,,,
1888,br,"Lorrain, James Grieve",,11354,ÿ,Electrical propulsion,BA1893,,Electrical propulsion,,1,,,,,,,,,
1888,br,"Hilfreich, Francis",,12736,ÿ,Navigable balloon,BA1893,,Navigable balloon,,1,,,,,,,,,
1888,br,"Monteith, Joseph",,14610,ÿ,Balloon railway,BA1893,,Balloon railway,,1,,,,,,,,,
1889,br,"Worms, James",,47,ÿ,Navigable balloon,BA1893,,Navigable balloon,,1,,,,,,,,,
1889,br,"Edwards, Edmund",,1671,ÿ,Navigable balloon,BA1893,,Navigable balloon,,1,,,,,,,,,
1889,br,"Craig, John",,3360,ÿ,Flying machine,BA1893; N1910 p72,,Flying machine,,1,,,,,,,,,
1889,br,"Bastard, William John",,3957,ÿ,Navigable balloon,BA1893,,Navigable balloon,,1,,,,,,,,,
1889,br,"Dale, William Duncombe",,4301,ÿ,Balloon parachute,BA1893,,Balloon parachute,,1,,,,,,,,,
1889,br,"Rieckert, Herman August Julius, and Albert Emil Karl Rieckert",,4811,ÿ,Navigable balloon,BA1893,,Navigable balloon,,1,,,,,,,,,
1889,br,"Millet, F. T.",,5199,,,"N1910, p72",,,,1,,,,,,,,,
1889,br,"Chambers, Jesse Mary",,6419,ÿ,Propelling balloons,BA1893,,Propelling balloons,,1,,,,,,,,,
1889,br,"Zimer, Frederick William",,7427,ÿ,Navigable balloon,BA1893,,Navigable balloon,,1,,,,,,,,,
1889,br,"Maxim, Hiram Stevens",,10359,,Steam engine,"N1910 p16, 72","Designed to be light, says Neilson",Steam engine,,1,1889/06/25,,,,,,,,
1889,br,"Robinson, George",,11108,ÿ,Aerial machine,BA1893,,Aerial machine,,1,,,,,,,,,
1889,br,"Thayer, David",,12320,ÿ,Kites,BA1893,,Kites,,1,,,,,,,,,
1889,br,"Davisdson, George Louis Outram",,13207,ÿ,Aerial machine,BA1893,,Aerial machine,,1,,,,,,,,,
1889,br,"Otto, Edward Charles Frederick, and Edward Charles Frederick Otto, Jr.",,14737,ÿ,Navigating balloons and flying machines,BA1893; N1910 p72,,Navigating balloons and flying machines,,1,,,,,,,,,
1889,br,"Maxim, Hiram Stevens",,16883,,Altitude control for flying machine,"BA1893 ; Neilson 1910, p16-18, 72",Big discussion by Neilson; techniques for controlling altitude and also some effort to control propeller blade stiffness,Altitude control for flying machine ; wing tip ; auxiliary planes ; propeller ?,,1,1889/10/25,,,,,,,,
1889,br,"Howson, William",,18952,ÿ,War balloons,BA1893,,War balloons,,1,,,,,,,,,
1889,br,"Tielke-Allan, Francis Henrick",,19209,ÿ,Navigable balloon,BA1893,,Navigable balloon,,1,,,,,,,,,
1890,br,"Radotinsky, Josef",,4647,ÿ,Balloon,BA1893,,Balloon,,1,,,,,,,,,
1890,br,"Grey, Ernest Howard",,5404,ÿ,Navigable balloon,BA1893,,Navigable balloon,,1,,,,,,,,,
1890,br,"Harris, Henry Marmaduke",,8816,ÿ,Aerial machine,BA1893,,Aerial machine,,1,,,,,,,,,
1890,br,"Cairncross, Stewart",,11455,ÿ,Navigable balloon,BA1893,,Navigable balloon,,1,,,,,,,,,
1890,br,"Griffiths, Thomas, and Thomas Henry Willoughby Beddoes",propulsion,12349,,Jet propulsion,"BA1893 ; Neilson 1910, p18, 72",,Jet propulsion,,1,1890/08/07,,,,,,,,
1890,br,"Huelser, Charles",,13099,ÿ,Navigable balloon,BA1893,,Navigable balloon,,1,,,,,,,,,
1890,br,"Moore, Ross Franklin",,13311,ÿ,Flying machine,BA1893; N1910 p72,"listed apparently mistakenly as 1891 also in Neilson, p. 72",Flying machine,,1,,,,,,,,,
1890,br,"Boult, Alfred Julius",,15332,ÿ,Balloon railway,BA1893,,Balloon railway,,1,,,,,,,,,
1890,br,"Wells, Clara Louisa",,15850,ÿ,Balloon railway,BA1893,,Balloon railway,,1,,,,,,,,,
1890,br,"Phillips, Horatio Frederick",,20435,ÿ,Flying machine,BA1893; N1910 p72,,Flying machine,,1,,,,,,,,,
1890,br,"Hutchinson, William Nelson",,21241,ÿ,Balloons,BA1893,,Balloons,,1,,,,,,,,,
1891,br,"Sinclair, William Houston",,1555,ÿ,Navigable balloons,BA1893,,Navigable balloons,,1,,,,,,,,,
1891,br,"Hutchinson, William Nelson",,1943,ÿ,Balloons,BA1893,,Balloons,,1,,,,,,,,,
1891,br,"Munns, William Henry",,4090,ÿ,Application of balloon,BA1893,,Application of balloon,,1,,,,,,,,,
1891,br,"Nahl, Perham Wilhelm",,4485,ÿ,Navigable balloon,BA1893,,Navigable balloon,,1,,,,,,,,,
1891,br,"Boult, Alfred Julius",,8142,ÿ,Navigable balloon,BA1893,,Navigable balloon,,1,,,,,,,,,
1891,br,"Newton, Alfred Vincent",,11212,ÿ,Motive power,BA1893,,Motive power,,1,,,,,,,,,
1891,br,"Fyers, William Augustus",,12403,ÿ,Balloon,BA1893,,Balloon,,1,,,,,,,,,
1891,br,"Edwards, Edmund",,12669,ÿ,Birds-eye photography,BA1893,,Birds-eye photography,,1,,,,,,,,,
1891,br,"Phillips, Horatio Frederick",airfoils,13311,applied for: 1891/08/06,Flying machines,BA1893; Neilson p15-16; related to patent UK1884-13768,Multi-planes with camber,Flying machines,,1,,,,UK1891-13311,,,,,
1891,br,"Moy, Thomas",,14742,ÿ,Governing aerial machines,BA1893,,Governing aerial machines,,1,,,,,,,,,
1891,br,"Griffiths, Thomas, and Thomas Henry Willoughby Beddoes",,16033,ÿ,Balloon,BA1893,,Balloon,,1,,,,,,,,,
1891,br,"Maxim, Hiram Stevens",,19228,ÿ,Flying machine,BA1893; N1910 p72,,Flying machine,,1,,,,,,,,,
1891,br,"Brewer, William John",,19245,ÿ,Navigable balloon,BA1893,,Navigable balloon,,1,,,,,,,,,
1891,br,"Hutchinson, William Nelson",,20032,ÿ,Balloons,BA1893; N1910 p72,,Balloons,,1,,,,,,,,,
1891,br,"Le Compagnon, Armand, Zelie (Vve) Faucillon, Georges Joseph Prosper Dubois, and Emile Aleide Royaux",,21580,ÿ,Navigable balloon,BA1893,,Navigable balloon,,1,,,,,,,,,
1891,br,"Middleton, Henry",,21885,ÿ,Flying machines,BA1893; N1910 p72,,Flying machines,,1,,,,,,,,,
1892,br,"Walker, J.C.",,634,,,"N1910, p72",,,,1,,,,,,,,,
1892,br,"Quentin, A.A.H.; Guattari, A.; Guattari, C.",,3872,,,"N1910, p72",,,,1,,,,,,,,,
1892,br,"Crease, J. F.",,9106,,,"N1910, p72",,,,1,,,,,,,,,
1892,br,"Battey, S. B.",,15977,,,"N1910, p72",,,,1,,,,,,,,,
1893,br,"Stark, T. A.; Ortlepp, J. C.",,1064,,,"N1910, p72",,,,1,,,,,,,,,
1893,br,"Barnett, H. T.",propulsion,2557,,Counter-rotating propellers,"Neilson, 1910 p.19",,Counter-rotating propellers,,1,1893/02/06,,,,,,,,
1893,br,"Middleton, Henry",,9775,,,"N1910, p72",,,,1,,,,,,,,,
1893,br,"Maxim, Hiram Stevens",,10852,,,"N1910, p72",,,,1,,,,,,,,,
1893,br,"Koch, Gustav",,16269,,,"N1910, p72",,,,1,,,,,,"Thompson, W. P.",,,
1893,br,"Decazes, Vicomte --",,17859,,,"N1910, p72",,,,1,,,,,,,,,
1894,br,"Mills, F. E. ; Deming, H.A.",,3128,,,"N1910, p72",,,,1,,,,,,,,,
1894,br,"Hofmann, J.",,7919,,,"N1910, p72",,,,1,,,,,,,,,
1894,br,"Booth, H.S.",,9347,,,"N1910, p72",,,,1,,,,,,,,,
1894,br,Piquet & Co.,,10034,,,"N1910, p72",,,,1,,,,,,"Haddan, H.J.",,,
1894,br,"Oetling, C.",,10819,,,"N1910, p72",,,,1,,,,,,"Golby, F. W.",,,
1894,br,"Hofmann, J.",,11941,,,"N1910, p72",,,,1,,,,,,,,,
1894,br,"Palacios, R. de; Goetjes, W.",,13996,,,"N1910, p72",,,,1,,,,,,"Thompson, W.",,,
1894,br,"Lautenschlger, P.E.",,15128,,,"N1910, p72",,,,1,,,,,,,,,
1894,br,"May, R.E.",,19264,,,"N1910, p72",,,,1,,,,,,,,,
1894,br,"Birnbaum, E.J.W.P",,22597,,,"N1910, p72",,,,1,,,,,,,,,
1894,br,"Borgfeldt, N.H.",,23564,,,"N1910, p72",,,,1,,,,,,,,,
1895,br,"Moore, Ross Franklin",,6,,,"N1910, p72",,,,1,,,,,,,,,
1895,br,"Lilienthal, Otto",,2519,1895/05/29,Flying machine,Lilienthal museum ; http://www.museumnet.lilienthal-museum.de/objekta.aspx?id=61,,Flying Machine,,1,,,,,,,,,
1895,br,"Macdonald, T.",,4125,,,"N1910, p72",,,,1,,,,,,,,,
1895,br,"Barb, P.E.S.",,5938,,,"N1910, p72",,,,1,,,,,,,,,
1895,br,"Los Olivos, E. C. de",,7271,,,"N1910, p72",,,,1,,,,,,,,,
1895,br,"Roeper, C.H.O.",,9390,,,"N1910, p72",,,,1,,,,,,,,,
1895,br,"Marshall, J.",,10239,,,"N1910, p72",,,,1,,,,,,,,,
1895,br,"Hofmann, J.",,22011,,,"N1910, p72",,,,1,,,,,,,,,
1895,br,"Pennington, E. J.",navigation,25050,,Automatically controlled vertical and horizontal rudders,"Neilson, 1910 p.20, 72",,Automatically controlled vertical and horizontal rudders,,1,1895/12/31,,,,,,,,
1896,br,"Roots, J.",,3657,,,"N1910, p73",,,,1,,,,,,,,,
1896,br,"Waelde, Jacob; Abelspies, J.F.C.",,9108,,,"N1910, p73",,,,1,,,,,,,,,
1896,br,"Pilcher, Percy S.",,9144,,,"N1910, p73",,,,1,,,,,,,,,
1896,br,"Davidson, G. L. O.",,12469,,,"N1910, p73",,,,1,,,,,,,,,
1896,br,"Pennington, E. J.",,17119,,,"N1910, p73",,,,1,,,,,,,,,
1896,br,"Simms, F. R.",,25716,,,"N1910, p73",,,,1,,,,,,,,,
1897,br,"White, J.D.",,2351,,,"N1910, p73",,,,1,,,,,,,,,
1897,br,"Lanchester, F. W.",navigation,3608,,Flying machine,"Neilson, 1910 p20-22, 72","automatic rudder/fin control ; also refers to the idea that altering wing angles will exercise control over the course of the craft, without offering technique for it.  IMPORTANT.  Predecessor of wing-warping.  Wings have a good shape.  GOOD design from 1897.  Did he know Chanute's design?",Flying machine with automatic rudder control ; mentions angling the wings rather like ailerons,,1,1897/02/10,,,,,,,,
1897,br,"Molesworth-Hepworth, Edward Newall",,5739,,,"N1910, p73",,,,1,,,,,,,,,
1897,br,"Simms, F. R.",,6320,,,"N1910, p73",,,,1,,,,,,,,,
1897,br,"Diesel, R.",,7012,,,"N1910, p73",,,,1,,,,,,,,,
1897,br,"Marshall, J.",,9734,,,"N1910, p73",,,,1,,,,,,,,,
1897,br,"Beenen, B. R.",,9864,,,"N1910, p73",,,,1,,,,,,,,,
1897,br,"Maxim, Hiram Stevens",navigation; stability,10620,,Control ? stabilizing by differential power,"Neilson, 1910 p22-23, 73",,"Control ? stabilizing by differential power ; ""The inventor describes a pendulum stability device according to which the tilting of the machine controls the power of the engines which drive the screw propellers so that the machine is automatically righted. Lifting and driving screws are described in which the forward edge of each blade is rigid while the rear edge is flexible, and controlled by a spring which can yield if the propeller is subjected to undue stress.  It is stated that the tension of the springs controlling the flexible edges of the blades may be increased or diminished at the will of the aviator."" (Neilson, p23)  Adjustment of the angle of the incidence of the blades for control.   ",,1,1897/04/28,,,,,,,,
1897,br,"Chanute, Octave",glider,13372,,Improvements relating to flying machines,"Neilson, 1910 p.23, 73; http://worldwide.espacenet.com/publicationDetails/biblio?DB=EPODOC&II=5&ND=3&adjacent=true&locale=en_gb&FT=D&date=18980402&CC=GB&NR=189713372A&KC=A",four stacked wings; wings swivel to alter angle-of-incidence to oncoming air ; steering with pedals ; a predecesor of wing-warping,Improvements in and relating to Flying Machines,,1,1897/05/31,,,,,,,,
1897,br,"Chanute, Octave",,13373,1897/05/31,Flying Machines,"http://www.spicerweb.org/chanute/biblio2.aspx ; 1898, 2 Apr.ÿ ""Improvements in and relating to Flying Machines.""ÿ",,Flying Machines ; COMBINE WITH 15221 somehow,,1,1897/05/31,1898/04/02,,,,,,,
1897,br,"Dufferin, H. J.",,14334,,,"N1910, p73",,,,1,,,,,,,,,
1897,br,"Chanute, Octave ; Herring, Augustus M. ",,15221,1897/05/31,Improvements in or relating to means and appliances for effecting Aerial Navigation,"Neilson, 1910, p24, 73; http://www.spicerweb.org/chanute/biblio2.aspx ; 1897, 25 June. ""Improvements in or relating to Means and Appliances for Effecting Aerial Navigation ( = triplane with engine, as well as a biplane)"".ÿ","Two or three stacked wings; two propellers, one in front and one in rear, rotating in opposite directions",Improvements in or relating to means and appliances for effecting Aerial Navigation,,1,1897/05/31,1897/06/25,,,,"Moy, Thomas",,,
1897,br,"Adams, A.",,15987,,,"N1910, p73",,,,1,,,,,,,,,
1897,br,"Krauss, Robert (Augsburg, Bavaria, Germany)",kite,18663,,captive kite for amusement park,"N1910, p73; espacenet: http://worldwide.espacenet.com/searchResults?compact=false&ST=advanced&IN=Krauss&locale=en_EP&PD=1897&DB=EPODOC","Amusements for fairs and the like: Kite, having a protecting-balustrade, can carry passengers, is drawn into the air by a rope leading to a carriage on a track going around winding-drums driven rapidly by a motor. A second car with spring supports acts as a support for the kite before and after its flight. Or the kite rests before and after its flight on a pair of parallel endless ropes which, passing over driving- pulleys, pull the kite backwards and forwards.
",A Controllable Means of Aerial Transport as a Public Amusement,,1,1897-08-12,1897-09-18,,,,,,,
1897,br,"Hardacre, George (New South Wales, Australia)",airplane,18935,1897-10-23,flying machine,"N1910, p73 ; espacenet: http://worldwide.espacenet.com/publicationDetails/biblio?DB=EPODOC&II=0&ND=3&adjacent=true&locale=en_EP&FT=D&date=18971023&CC=GB&NR=189718935A&KC=A","From abstract on espacenet:  flying machine without aerostats:  frame, vertical standard, spring base, motor, propeller, gas bag, parachute, and a pair of wings. an aeroplane can slide in guides upon the standard. The propeller is driven through a gearing, crank, and connecting-rod. The wing arms are pivoted upon a cross - bar, worked by the pin engaged with the standard. A gas bag can be turned on the standard to act as a rudder. It holds fuel in one sac and combustion products in another. Wings are covered with netting and overlapping flaps.",An improved flying machine,,1,1897/08/16,1897-10-23,,,,,,,
1897,br,"Wolf, Carl, Baron von",,26391,,,"N1910, p73",,,,1,,,,,,,,,
1897,br,"Carter, W. T.",propulsion,30932,,Counter-rotating propellers,"Neilson, 1910 p.19",,Counter-rotating propellers,,1,1897/12/31,,,,,,,,
1898,br,"Le Rond, L.J.J.B.",,10968,,,"Neilson, 1910 p.73",,,,1,,,,,,,,,
1899,br,"Blunt, A.H.P.",,3637,,,"Neilson, 1910 p.73",,,,1,,,,,,,,,
1899,br,"Bowyer-Smyth, D.M.",,7442,,,"Neilson, 1910 p.73",,,,1,,,,,,,,,
1899,br,"Blunt, A.H.P.",,8019,,,"Neilson, 1910 p.73",,,,1,,,,,,,,,
1899,br,"Brown, B.",,17611,,,"Neilson, 1910 p.73",,,,1,,,,,,,,,
1899,br,"Baumann, A.",,17913,,,"Neilson, 1910 p.73",,,,1,,,,,,,,,
1899,br,"Walker, W.G.",,17977,,,"Neilson, 1910 p.73",,,,1,,,,,,,,,
1899,br,"Armitage, C.",,20739,,,"Neilson, 1910 p.73",,,,1,,,,,,,,,
1899,br,"Placet, P.E.",,21329,,,"Neilson, 1910 p.73",,,,1,,,,,,,,,
1900,br,"Kalisch, E.",,12514,,,"Neilson, 1910 p.73",,,,1,,,,,,,,,
1900,br,"Groombridge, C.; South, W.A.",,13241,,,"Neilson, 1910 p.73",,,,1,,,,,,,,,
1900,br,"Gathmann, L.",,17367,,,"Neilson, 1910 p.73",,,,1,,,,,,,,,
1900,br,"Lehmann, E.",,17371,,,"Neilson, 1910 p.73",,,,1,,,,,,,,,
1900,br,"Vergara, A.",,18287,,,"Neilson, 1910 p.73",,,,1,,,,,,,,,
1900,br,"Filippi, A.P.; Macler, C.",,19199,,,"Neilson, 1910 p.73",,,,1,,,,,,,,,
1900,br,"Tarbe, J.",,19424,,,"Neilson, 1910 p.73",,,,1,,,,,,,,,
1900,br,"Blunt, A.H.P.",,20115,,,"Neilson, 1910 p.73",,,,1,,,,,,,,,
1900,br,"Simms, F. R.",,20368,,,"Neilson, 1910 p.73",,,,1,,,,,,,,,
1901,br,"Blunt, A.H.P.",,346,,,"Neilson, 1910 p.73",,,,1,,,,,,,,,
1901,br,"Flynn, P.J.",,883,,,"Neilson, 1910 p.73",,,,1,,,,,,,,,
1901,br,"Nicholl, G.",,1066,,,"Neilson, 1910 p.73",,,,1,,,,,,,,,
1901,br,"Bruncker, E.",,2389,,,"Neilson, 1910 p.73",,,,1,,,,,,,,,
1901,br,"Leger, E.",,3691,,,"Neilson, 1910 p.73",,,,1,,,,,,,,,
1901,br,"Tarczal, V.; Roheim, E.; Simko, J.",,8320,,,"Neilson, 1910 p.73",,,,1,,,,,,,,,
1901,br,"Porak., W.",,15960,,,"Neilson, 1910 p.73",,,,1,,,,,,,,,
1901,br,"Griffiths, W.J.",,16100,,,"Neilson, 1910 p.73",,,,1,,,,,,,,,
1901,br,"Moy, Thomas",,16856,,,"Neilson, 1910 p.73",,,,1,,,,,,,,,
1901,br,"Tuckfield, C.",,18862,,,"Neilson, 1910 p.73",,,,1,,,,,,,,,
1901,br,"Swingle, E.L.",,19995,,,"Neilson, 1910 p.73",,,,1,,,,,,,,,
1902,br,"Haas, T.",,8681,,,"Neilson, 1910 p.73",,,,1,,,,,,,,,
1902,br,"Murray, T.B.; Fulton, F.O.",,9251,,,"Neilson, 1910 p.73",,,,1,,,,,,,,,
1902,br,"Blunt, A.H.P.",,9706,,,"Neilson, 1910 p.73",,,,1,,,,,,,,,
1902,br,"Fraser, J.",,10267,,,"Neilson, 1910 p.73",,,,1,,,,,,,,,
1902,br,"Lipkowski, J. de",,11616,,,"Neilson, 1910 p.73",,,,1,,,,,,,,,
1902,br,"Seiberi, J.",,11982,,,"Neilson, 1910 p.73",,,,1,,,,,,,,,
1902,br,"Krakow, A.K.R.A.",,13499,,,"Neilson, 1910, p.73",,,,1,,,,,,,,,
1902,br,"Le Rond, L.J.J.B.",,14145,,,"Neilson, 1910, p.73",,,,1,,,,,,,,,
1902,br,"Bausset, A. de",,15110,,,"Neilson, 1910, p.73",,,,1,,,,,,,,,
1902,br,"Nmethy, Emil",,15403,,Improvements in Flying Machines,"Neilson, 1910, p.73",,,,1,,,,,,,,,
1902,br,"Sapmson, D.",,16698,,,"Neilson, 1910, p.73",,,,1,,,,,,,,,
1902,br,"Middleton, Henry",,21680,,,"Neilson, 1910, p.73",,,,1,,,,,,,,,
1902,br,"Manker, C.A.",,23161,,,"Neilson, 1910, p.73",,,,1,,,,,,,,,
1902,br,"Mott, S.D.",,24587,,,"Neilson, 1910, p.73",,,,1,,,,,,,,,
1902,br,"Groombridge, C.; South, W.A.",,25723,,,"Neilson, 1910, p.73",,,,1,,,,,,,,,
1902,br,"Cochrane, William",,27027,,,"Neilson, 1910, p.73",,,,1,,,,,,,,,
1903,br,"Lebaudy, P., and P.",,878,,,"Neilson, 1910, p.73",,,,1,,,,,,,,,
1903,br,"Graham, C.K.",,1943,,,"Neilson, 1910, p.73",,,,1,,,,,,,,,
1903,br,"Baumann, A.",,2688,,,"Neilson, 1910, p.73",,,,1,,,,,,,,,
1903,br,"Wellner, Georg",,2826,,,"Neilson, 1910, p.73",,,,1,,,,,,,,,
1903,br,"Winsch, J.; Lazarowicz, J.",,7179,,,"Neilson, 1910, p.73",,,,1,,,,,,,,,
1903,br,"Haylock, D.; Haylock, R.A.",,7763,,,"Neilson, 1910, p.73",,,,1,,,,,,,,,
1903,br,"Roux, E.",,11719,,,"Neilson, 1910, p.73",,,,1,,,,,,,,,
1903,br,"Booth, H.S.",,12149,,,"Neilson, 1910, p.73",,,,1,,,,,,,,,
1903,br,"Maxim, Hiram Stevens",,15748,,,"Neilson, 1910, p.74",,,,1,,,,,,,,,
1903,br,"Bourcart, M.",,18768,,,"Neilson, 1910, p.74",,,,1,,,,,,,,,
1903,br,"Green, W.A.",,19347,,,"Neilson, 1910, p.74",,,,1,,,,,,,,,
1903,br,"Braschie, A.",,20169,,,"Neilson, 1910, p.74",,,,1,,,,,,,,,
1903,br,"Stewart, J.",,20702,,,"Neilson, 1910, p.74",,,,1,,,,,,,,,
1903,br,"Long, L.",,23380,,,"Neilson, 1910, p.74",,,,1,,,,,,,,,
1903,br,"Howell, T.J.",,24701,,,"Neilson, 1910, p.74",,,,1,,,,,,,,,
1903,br,"Barclay, J.",,25378,,,"Neilson, 1910, p.74",,,,1,,,,,,,,,
1903,br,"Blunt, A.H.P.",,25444,,,"Neilson, 1910, p.74",,,,1,,,,,,,,,
1903,br,"Baden-Powell, B.F.S.",,26821,,,"Neilson, 1910, p.74",,,,1,,,,,,,,,
1903,br,"Brennan, L.",stability,27212,,Gyroscopic stabilization,"Neilson, 1910, p25, 74","gyroscopes on parallel axes, rotating opposite ways, help to avoid airplane title during turn; not especially for aircraft",Gyroscopic stabilization,,1,1903/12/11,,,,,,,,
1904,br,"Avery, A.H.",,1446,,,"Neilson, 1910, p.74",,,,1,,,,,,,,,
1904,br,"Hawkins, E.C.",,1543,,,"Neilson, 1910, p.74",,,,1,,,,,,,,,
1904,br,"Macleod, M.C.",,1763,,,"Neilson, 1910, p.74",,,,1,,,,,,,,,
1904,br,"Hutchinson, F.W.H.",,1778,,,"Neilson, 1910, p.74",,,,1,,,,,,,,,
1904,br,"McMullen, G.",,1788,,,"Neilson, 1910, p.74",,,,1,,,,,,,,,
1904,br,"Maxim, Hiram Stevens",,3120,,,"Neilson, 1910, p.74",,,,1,,,,,,,,,
1904,br,"Voj cek, L.",,3307,,,"Neilson, 1910, p.74",,,,1,,,,,,,,,
1904,br,"Visoly, S.H. de",,3336,,,"Neilson, 1910, p.74",,,,1,,,,,,,,,
1904,br,"Crawford, R.L.",,3929,,,"Neilson, 1910, p.74",,,,1,,,,,,,,,
1904,br,"Adams, H.",propulsion,4901,,Propellers,"Neilson, 1910 p.26","""the propeller shaft is driven through a Hooke's coupling and bevel pinions.""  The propeller is pulled, perhaps by ropes, for rising/falling/direction.",Propellers,,1,1904/02/27,,,,,,,,
1904,br,"Hckel, H.",,5787,,,"Neilson, 1910, p.74",,,,1,,,,,,,,,
