Entity,Scope,Affiliate  of,Country,City,Address,Cable Address,Phone,Start Year,End Year,Sources [Reformatting Pending],"Notes 1:  Beginning, Purpose, Other Characteristics","Notes 2:  Patrons, Founders, Officers, Membership; Continuing and Other Notes",Notes 3:  Overflow Notes and Asides  ,Special to Peter
Baltimore Aero Club,Local,,USA,"Baltimore, Maryland",,,,1908,1908 ?,1908 Baltimore Sun 30 & 31 May;,"The Baltimore Aero Club was formed, most likely in jest, at an after-dinner meeting at the Baltimore Athletic Club on 29 May 1908.  The dinner, a rousing affair, was a send-off in honor of Edward H. Thompson, a Baltimore banker, who had accepted a dare of Philadelphia aeronaut Arthur T. Atherholt some months ago to go ballooning.  The balloon flight, which was to take place on 30 May, drew an audience of thousands but the flight itself was a failure; the gas was inadequate and when the bag was wrestled to the ground it was torn.  While said club members met again that evening and reportedly discussed plans for a real ascension, no information has been found on later activities of the club.  ","E. H. Thomson was elected president of the Baltimore Aero Club at its organizational meeting on 29 May 1908.  The 12 founders, including Atherholt and another man from Philadelphia, appear to have all been members of the athletic club.  Said Baltimore Aero Club appears to have no connection to the Aero Club of Baltimore formed 30 Sept. 1909.           ","There was another club in Baltimore known as the Aero Club that at its inception had nothing to do with aerial navigation.  It was founded by three employees of the Chesapeake and Potomac Telephone company and another friend in February 1909 who were interested in wireless communication and wanted to advance the message that any one will skill and patience could buy the materials and make a machine capable of sending messages for miles.  At that time one of the members was following the Atlantic ocean fleet from Hampton Roads, Virginia to Pennsacola, Florida.  Whether the club existed long enough to follow aeroplane traffic is not known.  (See Washington Post and Christian Science Monitor, both 11 Feb. 1909.)     ",
Bath and Somerset Aero Club,Local,,"England, GB, UK",,11 Elm Place,,,1912 or earlier,,1913 Aviation P-B 161 (Jan. 1913);,,,,
Bavarian Air Navigation Center : Bayerischer Luftfahrt Zentrale , ,,Germany,Munich,"27 Residenzstrasse, Munich",0,0,1920 or earlier,1920 or later,Dir1920, ,,,Needs research; may be too late.
"Bavarian Automobile Club, Committee for Aerial Navigation : Bayerischer Automobil Club, Kommission fur Luftschiffahrt",Regional,"DLV, 1908",Germany,Munich,"5 Briennerstrasse, Munich I (1911)",,1035 (1911),1908 or earlier,,"Braunbeck's Sport-Lexikon:  Luftschiiffahrt 123, 177, 185 (1911);","The Bavarian Automobile Club or Bayerischer Automobil Club was founded on 14 Jan. 1899.  In 1908, or earlier, a Kommission fur Luftschiffahrt or Committee for Aerial Navigation was added.  The Automobil Club joined the DLV (German Air Navigation Association : Deutscher Luftschiffer-Verband), which see, in 1908.  The emphasis appears to have been on ballooning.       "," In 1911, His Highness, Prince Georg von Bayern, was chairman of the Committee for Aerial Navigation and Hans Schedl and 1st Lt. Rich. von Falkenhausen were vice chairmen.  The club had 354 members, of whom six were balloon guides.  It owned one free balloon.  The club's official organ was Allgemeine Automobil-Zeitung."," It appears that ca. 1910-1911, the Bayerischer Automobil Club was at the same address as the Akademie fur Aviatik in Munchen.   ",
Bavarian Flying Club : Bayerischer Flieger Club,,,Germany, ,,0,0,1920 or earlier,1920 or later,Dir1920, ,,,Needs research; may be too late.
Ben Franklin Aeronautical Society : Ben Franklin Aeronautical Societty of the United States,Local,,USA,"Philadelphia, Pennsylvania","Schuyler Building, Sixth and Diamond Streets, Philadelphia (at least 1907-1908)",,,1907 or earlier,1910,"1907 NYT 25 Aug; 1907 Baltimore Sun, 25 Aug.; 1907 WP, 28 Oct.; 1:6 Aeronautics 38 (1907); 1:3 American Aeronaut and Aerostatist 32 (Jan. 1908); 1 American Aeronaut and Aerostatist 195 (1908); 15 Automobile Topics 1905 (1908);  ACA annual (1908);  5 Aeronautics 216 (1909); Kenneth Finkel, Philadelphia ReVisions, the Print Department Collection, Library Company of Philadelphia, 1983, p. 32; ""www.aeroclubpa.org/history.html;","The Ben Franklin Aeronautical Society, also known as the Ben Franklin Aeronautical Society of the United States, and occasionally erroniously referred to as the Ben Franklin Aeronautic Association, was a ballooning society, founded in Philadelphia, certainly no later than 1907.  By the end of 1910, it had merged with the Aero Club of Pennsylvania, which see.","Officers, 1907, included Dr. T. Chalmers Fulton, president; Dr. George H. Simmerman (also identified as Zimmerman), 2nd vice president; and J. Edwin Reich (also identified as Rech), secretary.  Fulton continued to be identified as president at least through 1909.  When the 92,000 cubic foot balloon Ben Franklin, a product of a Philadelphia workshop and then the largest balloon manufactured in the United States, made its maiden voyage on 24 Aug. 1907, its occupants included Fulton, Simmerman, and Recih, and they were identified as officers of the Ben Franklin Aeronautical Society.  However, a caption on a print made from a negative of a photo taken at the balloon's christening ceremony in 1907 identifies the occupants of the partially filled Ben Franklin balloon as the president and members of the Ben Franklin Balloon Association.  According to the May 1908 American Aeronaut and Aerostatist, the Ben Franklin Balloon Association was a close corporation, with Fulton as president, and was the actual owner of the balloon.     "," Prof. Samuel A. King was the Ben Franklin's builder.  King, who was in the basket during the balloon's maiden voyage, had turned 79 on 9 April 1907.",
Berkshire Auto and Aero Club,Local,,"England, GB, UK",Reading,"10 Redlands Road, Reading",,,1910 or earlier,,"""Flight"" Manual 13 (1910); 1913 Aviation P-B 161 (Jan. 1913);",,,,
Berlin Association for Aerial Navigation : Berliner Verein fur Luftschiffahrt, Local,"DLV, 1902",Germany,Berlin,"Dresdenerstrasse 38, Berlin S. 14 (at least 1906-1908); Xantenerstrasse 8, Berlin (at least 1909-1910); 21 Vossstrasse, Berlin W 9 (at least 1910-1911); 25 Linkstrasse, Berlin W9 (1913).  Balloon halls were at Gasanstalt of Berlin-Schmargendorf and at the Chemischen Fabrik Griesheim-Elektron II at Bitterfeld; aeroplanes used the airfield at Johannisthal, Berlin.  ",,"9979 IV (1906).  Office 1481, Secretary 14761; Balloon hall, Wilmers-dorf, 4702; Rides 8301 (all 1911).","1881, predeces-sor in name",,"P-B of Aeronautics 439-440 (Eng. ed., Jan. 1907); 1:5 Aeronautics 42 (1907); 1:6 Aeronautics 37 (1907); ACA annual (1907); 1908 Intl Motor Cyclopaedia YB 64; 1909 Motor Cyclopaedia YB 110 Misc.; ACA annual (1907); 1908 American Aeronaut, Jan., p. 31; ""Flight"" Manual 14 (1910); 1911 Aero-Manuel 243 (1 Oct. 1910); Braunbeck's Sport-Lexicon:  Luftschiffahrt 26, 123-124 (1911); 1911 Hazell's 488;  1914 Aero-Manuel 586 (1 Oct. 1913); WorldCat.org and WorldCat-OCLC","The  Berliner Verein fur Luftschiffahrt or Berlin Association for Aerial Navigation traces its origin to the founding of the Deutsche Verein zur Förderung der Luftschiffahrt or German Association for the Promotion of Aeronautics, which see, on 31 Aug. 1881.  The name was changed to the Berliner Verein fur Lutfschiffahrt on 23 February 1903 and it continued as a member of the DLV.  Publication of the former's official journal, the Illustrierte Aeronautischen Mitteilungen, appears to have continued through 1911.  It owned several balloons, maintained stations for balloon ascents all over Germany, and continued the numerous scientific ascents, begun in 1891, to at least 1906.  After that, its interest appears to have included both lighter- and heavier-than-air craft.    ","There were 807 members in 1906, including 134 qualified aeronauts.  Women were addmitted as members and of 23 new members admitted on 21 June 1907, one was a woman.  In 1906, it had library of some 700 volumes.  It carried out scientific balloon ascents under the patronage of the Kaiser.  It cosponsored with Kaiserlicher Aero Club and Kaiserlicher Automobil Club, National Flugwoche (Flight Week) at Johannisthal, Berlin, 7-13 Aug. 1910.  Professor Busley was president, 1910-1911; Professor Miethe was president, 1913.  In 1911, there were 1426 members, including 64 balloon guides.  At that time, the Association owned nine free balloons, an airship, and five aeroplanes of which three were monoplanes and two were biplanes.  Gas balloons used the balloon hall at the Berlin-Schmargendorf Gasworks while hydrogen ballons were at the Wasserstoff fill place at the Chemical Factory Griesheim-Elektron II at Bitterfeld.  The aeroplanes used the Johannisthal airfield at Berlin.        ", ,
Birmingham Aero Club,Local,,"England, GB, UK",Birmingham,"165 Hampton Street, Birmingham (1910); c/o Secretary, 112 Ladywood Road, Birmingham (at least 1912); model section at 8 Frederick Road, Edgbaston (1912)",,,1910 or earlier,,1911 Aero-Manuel 245 (1 Oct. 1910); 1913 Aviation P-B 161 (Jan. 1913);,The Birmingham Aero Club included a model section at a separate address.,, , 
Birmingham Aero Model Club,Local,,"England, GB, UK",Birmingham,"c/o Secretary, 62 Albion Street",,,1912 or earlier,,1913 Aviation P-B 161 (Jan. 1913);,,,,
Birmingham Aero Model Club,,,"England, GB, UK",,,,,1909,,1 Flight 590 (1909);,"At a meeting held on 17 Sept. 1909, the foermation of an aero model club for Birmingham was decided upon.  A provisional committee was elected to organize the club.  Part of the basis for organizing the club was to provide the opportunity for working men to to have the opportunity to cooperate and collaborate in the new science at a lesser subscription than that charged by the Midland Aero Club.",,,
Blackheath Aero Club,Local,,"England, GB, UK",London?,"Clatford, S.E.(1912)",,,1912 or earlier,,1913 Aviation P-B 161 (Jan. 1913);,,,,
Blackpool and Fylde District Aero Club,Local,,"England, GB, UK",Blackpool,"c/o Secretary, 56 Cookson Street, Blackpool (at least 1910-1912)",,,1909,,"1 Flight 590 (1909); ""Flight"" Manual 13 (1910); 1911 Hazell's 488; 1913 Aviation P-B 161 (Jan. 1913); ",The first general meeting of the Blackpool and Fyide Aero Club was held on 16 Sept. 1909.  At that time rules of the club were submitted and adopted and officers elected.  It was decided to host a series of lectures for the upcoming winter and to offer its services to the Blackpool Corporation for aviation week.  It was also decided to apply to the Aero Club of the United Kingdom for affiliation.,"Officers elected 16 Sept 1909 included C. S. Rolls, president and M. L. Bleriot, vice president.  C. V. Haworth was the club's patron.  By way of beginning the club's library, Haworth promised to donate F. W. Lanchester's two volumes on aeronautics.",[need to see if it was affiliated with the ACUK.,
Bootle and District Aero Club,Local,,"England, GB, UK",Bootle,"39 Brook Road, Bootle (1912)",,,1912 or earlier,,1913 Aviation P-B 161 (Jan. 1913);,Began as Liverpool Model Aero Club.  [if still an Aero Club will delete from this table.],,,
Boston Aero Club,Local,,USA,"Boston, Massachusetts",,,,1906,,1906 Boston Daily Globe 30 Dec.; 1908 WSJ 28 Nov.; ,"The Boston Aero Club was organized at an afternoon meeting at the Park Theater, Boston, 29 Dec. 1906, for the purpose of making a series of experiments in the subject of practical ballooning and other objects connected with aerial navigation.  ","Initial officers were William D. Andreas, president; W. M. Wilkinson, vice president;  J. R. Kean, secretary; and Frank Cauley, treasurer.",,
Boston Aeronautical Society,Local,,USA,"Boston, Massachusetts","Boston Aeronuatical Society, Box 1197, Boston (1896) ",,,1895,,74 Scientific American 264 (25 Apr. 1896); 1897 Boston Daily Globe 9 May; ,"The Boston Aeronautical Society was organized 2 May 1895.  Objectives of the society were to encourage experiment with aerial machines and to disseminate knowledge concerning the great problem of aerial navigation.  Meetings were held fortnightly at which papers treating aeronautical subjects were read and discussed.  In particular, the society encouraged the study of scientific kite designing and the sport of kite flying.   In 1897, it claimed to be the only society of kite fliers in the USA.   ","Initial officers included Prof. William H. Pickering of Harvard's Blue Hill Observatory and Albert A. Merrill, secretary.  In May 1897 J. B. Millet was president while Albert A. Merrill was secretary-treasurer.  Members included Prof. A. Lawrence Rotch, founder of the Blue Hill Observatory, Prof. Octave Chanute, and Pickering's brother, E. C., who was also associated with the Observatory.   Both business men and scientists were attracted as members.  The society established an experimental station for scientific kite flying at the Observatory.  In the fall of 1896, the first Chanute prize for the best essay on kites was awarded.  The society also offered prizes for kite flying.   ",,
Bradford Aero Club,Local,,"England, GB, UK",Bradford,"Prudential Buildings, Ivygate, Bradford (1912)",,,1912 or earlier,,1913 Aviation P-B 161 (Jan. 1913);,,,
Braunschweig Association for Aerial Navigation : Braunschweigischer Verein fur Luftschiffahrt,Local,"DLV, 3 Sept. 1909",Germany,Braunschweig (Brunswick),"5 Augusttorwal, Braunschweig; balloon place at Stadtisches Gasanstalt, Braunschweig (1911)",,733 (1911),1909,, 1911 Aero-Manuel 254 (1 Oct. 1910); Braunbeck's Sport-Lexikon:  Lufschiffahrt 124 (1911);,"The Braunschweigischer Verein fur Luftschiffahrt or Braunschweig Association for aerial navigation was established 15 May 1909.   It joined the DLV (German Air Navigation Association : Deutscher Luftschiffer-Verband), which see, on 3 Sept. 1909.  The emphasis appears to have been on ballooning.  ","His Highness, Duke Johann Albrecht of Micklenburg, Regent of Braunschweig, was honorary president, 1911.  The Association's chairman at that time was Count von der Schulenburg-Wolfsburg and Dr. Jur. Eberhard Horstel was deputy chairman.  The association had 180 members including 12 balloon guides.  It owned one free ballon and used the Stadtisches Gaswerk (Municipal Gasworks) at Braunschweig. ", 
Breisgau Association for Aerial Navigation : Breisgau Verein rur Luftschiffahrt,Local,"DLV, from 1908",Germany,Freiburg im Breisgau,"152 Kaiserstrasse, Fribourg im Breisgau (at least 1910-1911);",,1873,1908,, 1911 Aero-Manuel 255 (1 Oct. 1910); Braunbeck's Sport-Lexikin:  Luftschiffahrt 125 (1911),"The Breisgau Verein fur Luftschiffahrt or Breisgau Association for Aerial Navigation was established 1 Dec. 1908.  It joined the DLV (German Air Navigation Association : Deutscher Luftschiffer-Verband), which see, in 1908.  The emphasis appears to have been on ballooning.  ","In 1911, Gen. D. Gaede was chairman and W. Weyermann was vice chairman.  There were 285 members including 12 balloon guides.  The Association owned one free balloon.  ",
Bremen Association for Aerial Navigation : Bremischer Verein fur Luftschiffahrt,,"DLV, Mar. 1910",Germany,Bremen,"12 Bischofsnadel, Bremen (1911)",,,1909,,"Braunbeck's Sport-Lexicon:  Luftschiffahrt 91, 151 (1911)","The Bremischer Verein fur Luftschiffahrt or Bremen Association for Aerial Navigation was founded in Bremen on 12 Oct. 1909.  The first meeting under the constitution was 2 Nov. 1909.  It joined the DLV (German Air Navigation Association : Deutscher Luftschiffer-Verband), which see, in March 1910. ","Initial officers included Vice Admiral von Ahlefeld, chairman, and Professor Dr. Grosse, vice chairman.  In 1911, the association had 200 members.  ",
Brighton and District Model Aero Club,Local,,"England, GB, UK",Brighton and Hove,"Kingsleigh, Kingsway, Hove",,,1912 or earlier,,1913 Aviation P-B 161 (Jan. 1913);,,,
Bristol and West of England Aero Club,Regional,"RACUK, from at least 1912","England, GB, UK",Clifton,"Star Life Building, Bristol (1910); Clifton Down Hotel, Clifton (1912)",,,1910 or earlier,,"1911 Aero-Manuel 256 (1 Oct. 1910); 1913 Aviation P-B 160, 161 (Jan. 1913)",,,
Bristol Model Flying Club,Local,,"England, GB, UK",Clifton,"9 Royal York Crescent, Clifton",,,1912 or earlier,,1913 Aviation P-B 162 (Jan. 1913);,,,
British Aviators' Federation,,,"England, GB, UK",London ?,,,,1911,,"1911 NYT, 26 Jan.",The British Aviators' Federation was organized in January 1911 to give greater freedom to airmen than they enjoyed under the existing rules of the Royal Aero Club of the United Kingdom.,,
Bromberg Association for Aerial Navigation : Bromberger Verein fur Luftschiffahrt,,"DLV, 20 Mar. 1910",Germany,Bromberg,"5 Posner Strasse, Bromberg (1911); balloon place at Stadtisches Gasanstalt, Bromberg.",,,1909,,"Braunbeck's Sport-Lexicon:  Luftschiffahrt 98, 151-152 (1911)","The Bromberger Verein fur Luftschiffahrt or Bromberg Association for Aerial Navigation was founded in Bromberg on 9 Sept. 1909.  It joined the DLV (German Air Navigation Association : Deutscher Luftschiffer-Verband), which see, 20 Mar. 1910","Initial officers included Metzger, chairman, and Laue, vice chairman.  In 1911, there were about 80 members.  The association owned one free balloon.  The balloon place was the Hamfield Meadow of the Stadtisches Gasanstalt (Municipal Gas Works), Bromberg.  ",
Btistol Aero Club,Local,,"England, GB, UK",Bedford,"Star Life Buildings, Bedford (1910)",,,1910 or earlier,perhaps no later than 1912,"""Flight"" Manual 13 (1910); ",,,
Burnley and District Aero Club,Local,,"England, GB, UK",Burnley,"c/o Secretary, Central Chambers, Burnley",,,1910 or earlier,,"""Flight"" Manual 13 (1910); 1913 Aviation P-B 162 (Jan. 1913);",,,
California Balloon Club,State,"Pacific Aero Club, 1909",USA,"San Francisco, California",,,,1909,1920 or later,"5 Aeronautics 12 (1909); 1909 SF Chronicle 26 May; 1910 LA Times, 5 Jan.","The California Balloon Club was organized to encourage ballooning as a sport in California and to set before eastern balloonists the advantages of touring and winter ballooning in the state.  The club was said to be designed to aid and not interfere with regular aero clubs.  Soon after the Pacific Aero Club was organized in May 1909, the California Balloon Club requested and was granted affiliation with the aero club,","Initial officers in 1909 included Dick Ferris, Los Angeles, president; vice presidents T. C. S. Lowe, Pasedena and A, K, Crane, Sacramento; George B. Harrison, San Fracisco, secretary; Roy Knabenshue, Sierra Madre, consulting engineer; and a vice president and a treasurer to be named by the Pacific Aero Club. ",
Cardiff Aero Club,Local,,"Wales, GB, UK",Cardiff,"114 Miskin Street, Cathays, Cardiff",,,1912 or earlier,,1913 Aviation P-B 162 (Jan. 1913);,,,
Chauffeurs' Aero Club ,Local,,USA,"Philadelphia, Pennsylvania","c/o Chauffers' Association, 1933 Spring Garden Street, Philadelphia",,,1909,,"1909 WP, 13 Dec., from the NY Evening Sun; ","The Chauffeurs' Association of Philadelphia, composed of men who drive motor cars as a business, formed an aero club in December 1909 for the purpose of learning the art of flying.  The club had obtained a gliding machine and members were to take lessons to qualify as drivers of aircraft.    ",The club was organized with 40 members.  Auto racer Willie Haupt  was named consulting engineer., 
Chemnitz Association for Aerial Navigation : Chemnitzer Verien fur Luftschiffahrt,Local,"DLV, 18 Oct. 1909",Germany,Chemnitz,"One Chemnitzerstrasse, Chemnitz (at least 1910-1911).  Balloon place, Firma Reinecker, Kant- under Charlottenstrasse, Chemnitz (1911)",,530 (1911),1895,,1911 Aero-Manuel 266 (1 Oct. 1910); Braunbeck's Sport-Lexicon:  Luftschiffahrt 125 (1911),"The Chemnitzer Verien fur Luftschiffahrt or Chemnitz Association for Aerial Navigation was established 3 Jan. 1895.  It joined the DLV (German Air Navigation Association : Deutscher Luftschiffer-Verband), which see, on 18 Oct. 1909.  ","In 1911, Captain von Burgsdorff was honorary chairman and Weissenberger was chairman.  There were 250 members, including five balloon guides.  The association owned one free balloon and used the grounds of the Reinecker Company at the corner of Kant and Charlotten Streets in Chemnitz.  ",
Chicago Women's Aero Club,Local,,USA,"Chicago, Illinois",,,,1909,,"1909 St. Louis Post-Dispatch, 27 June.","A women's aero club with a yet undetermined name was formed in June 1909 by a group of Chicago women.  While none had every flown in a balloon previously, the seriousness of their intention seemed demonstrated by the fact that they had secured a clubhouse in a suburb south of the city with plenty of ground space that was enclosed by a high fence.  They intended to start by using a captive balloon and then to go from taking shorter to longer trips.","The club was formed by Mrs. G. W. Forrester who was elected the first president.  Other officers included Mrs. A. F. Handson and Mrs. Emelyn Elizabeth Bonell, vice presidents; Miss Muriel Henderson, secretary; and Mrs. John J. Edwards, treasurer.  Some 15 others were listed as active members.  Their seriousness was also demonstrated in the naming of Elizabeth Ziegler Zane, secretary of an aerial navigation company in Stockton, Cal., and Mrs. Leslie B. Haddock of Cincinnati, Ohio, an experienced balloon passenger since 1902, as honorary members.  ",
Circle of Ballooning and Aviation of France : Cercle d'Aerostation et D'Aviation de France,,,France,Paris,"4 Rue Aumont Thieville, Paris (1910);  43 Avenue Victor Hugo, Paris and Park Aerostatique at Velodrome Buffalo, Neuilly (1910)",,,1902,,1910 Annuario dell' Aeronautica Primo 372 (Sept. 1910); 1911 Aero-Manuel 486 (1 Oct. 1910),,"Honorary Presidents. 1910:  Natier, mayor of Neully;  Pugliest-Contri; and Julliot.  Officers, 1910, were:  Pavret-Dortail, president; Pascal Cosse and Eugene Bouchez, vice presidents; E. Charriere, secretary; and J. A. Bailly, treasurer.",,
Cleveland Aero Club,Local,,USA,"Cleveland, Ohio",,,,1909,1913 or later,"1909 St. Louis Post Dispatch, 20 Oct.; 6 Aeronautics 33 (1910); 1910 Aircraft, 1 Apr.; 1910 Baltimore Sun, 2 Sept.; 1911 NYT, 10 July; 1911 Baltimore Sun, 12 July; WorldCat.org and WorldCat-OCLC","A decision to organize the Cleveland Aero Club was made on 20 Oct. 1909 at a meeting of local capitalists.  It was proposed to purchase 10 acres of land on which to build sheds and to experiment with flying machines and propmote the art of flying; however, the manufacture of flying machines was not proposed.  Subsequent to the October meeting, the organizers met at the headquarters of the Cleveland Automobile Club where 40 shares of stock were subscribed and nine directors were elected.  In addition, the Aero Club affiliated with the Cleveland Automobile Club.  This all appears to have occured by the end of 1909.  The Cleveland Motorist, published monthly August 1911 through August 1913, was the official organ of the Cleveland Automobile Club and the Cleveland Aero Club.   ","The organization of an aero club in Cleveland was promoted by aerplanist Glenn H. Curitss during his visit to the city for several days in September 1909.  H. C. Gammeter was elected president of the temporary organization.  Later, he was one of the nine directors elected.  Curtiss flew in the Cleveland area again on 31 Aug. and 1 Sept. 1910 and was entertained at an Aero Club banquet on 1 September.  The club entered a balloon in a national elimination contest at Kansas City, Missouri, that began 9 July 1910.    ", ,
Club Aerial Santos-Dumont : Club Aeri Santos-Dumont,Local,,Spain,Barcelona,,,,1910 or earlier,,1911 Aero-Manuel 268 (1 Oct. 1910),,,,
Club Aeronautic of Dunkirk : Club Aeronautique de Dunkerque ,Local,"AeCF, 1909",France,Dunkerque,,,,1909 or earlier,,1 Flight 67 (1909); 1909 Motor Cyclopaedia YB 110 Misc; 1910 Annuario dell' Aeronautica Primo 374 (Sept. 1910); 1911 Aero-Manuel 268 (1 Oct. 1910),"The Aerostatic Club of Dunkirk, which likely was also known as the Club Aeronautique de Dunkerque, was accepted as an affiliate of the Aero Club of France in January 1909. ",,,
Club Aeronautic of France : Aeronautique Club de France,Local,"FAI; AeCF, from at least early 1908",France,Paris,"58 Rue Jean-Jacques Rousseau, Paris (at least 1906-1913)",Aeronotik-Paris (at least 1910-1913),204024 (1910),1897,Still exists ?,"P-B of Aeronautics 422-443 (Eng. ed., Jan. 1907); U.S. Dept. of Commerce and Labor, Bureau of Manufactures, Monthly Consular and Trade Reports No. 322 (July, 1907) 191-192; 1:5 Aeronautics 44 (1907); 1:6 Aeronautics 37 (1907); 2:3 Aeronautics 37 (1908); 1908 Intl Motor Cyclopaedia YB 14; ""Flight"" Manual 14 (1910); 1911 Aero-Manuel 226, 479-485, 505 (1 Oct. 1910); 1914 Aero-Manuel 571 (1 Oct. 1913); Dir1920; National Union Catalog of Pre-1956 Imprints; 2004 Cailliez 198; http://www.acdf-aeroclub-meaux.fr/; http://fr.wikipedia.org/wiki/Aéroclub_féminin_la_Stella ","Founded at Paris on 20 Oct. 1897, the Aeronautique Club de France held objectives including the theoretical and practical study of various modes of aerial locomotion and related sciences, the popularizaton of ballooning as a sport, and the education of as many aeronauts as possible among the civil population.  Its official organ, L’Aeronautique, began in 1902 and was published quarterly.  The club had a library and museum in Paris, a balloon park at Rueil, and balloon stores and a park for hovered flight at Champlan-Palaiseau, while motorized devices were tried at Issy-les-Moulineaux.  All members could participate gratuitiously in balloon ascensions.  There was an annual distribution of medals and prizes to balloon conductors belonging to the Society.    ","Founded by Saunière [H. or Jules?].  Officers in 1908 included Sauniere as president and Roger Aubry and Riberye as secretaries.  By 1906, not only had the original branch in Paris with 350 members but had a branch in Lyons with 150 members; women were admitted as members.  The rank and file of the club consisted of working men, mostly mechanics and small tradesmen, who followed ballooning as a sport and for the certificate of competence that, when they were drawn for military service, would secure to them a chance of service in the balloon corps of the army.  Members who completed a course of instruction held twice each month from the end of September until the middle of May and passed their examination received a certificate as to their general intelligence and knowledge of partical aeronautics.  The summer months formed a season of active outdoor work that included niumerous ascensions in the club's balloons.  In 1910, it had some 450 members in Paris and nearby.       ","Club member Mrs. Emile Carton made her first ascent by being on board on 6 May 1906.  In August 1906, Marie Surcouf (Mrs. Edouard Surcouf), president of the women's committee, organized an all female flight.",
"Club Aeronautic of France, Lyons : Aeronautique Club de France, Lyon",Local,AeCF,France,Lyons, ,,,1906 or earlier,,"P-B of Aeronautics 422-443 (Eng. ed., Jan. 1907)","The Aeronautique Club de France at Lyon was a branch of the Aeronautique Club de France, founded in Paris 20 Oct. 1897, which see.","150 members in Lyons branch, 1906.  [The Lyons branch is not mentioned in the 1911 Aero-Manuel.  We wonder if it might have become the Aero Club du Rhone et du Sud-Est.  If we were to find the street address of the Aeronatique Club at Lyon, this might resolve our question.]",,Date AeCF
Club Aeronautic of Switzerland : Club Aeronautique Suisse,National,,Switzerland,Saint Imier,,,,1905 or earlier,,www.pionnair-ge.com/spip1/spip.php?article403 (Cailliez 27 Apr 2009); No.16 L'Aeronautique 115 (1 Jan 1906);,The Club Aeronautique Suisse was founded sometime before September 1905 as a club for balloonists.,"The balloonist Louis Kaeser, who had been one of the founding members of the Aero Club der Schweiz, quit that club to found the Club Aeronautique Suisse.  Representing the Club Aeronautique, Kaeser (whose name was wrongly reported as Kaiser) and Otto Spite made a free balloon ascent of two hours on 3 Sept. 1905.   ",,"www.pionnair-ge.com/spip1/spip.php?article403 (Cailliez 27 Apr. 2009), says founded by Louis Kaeser April 1909 at Neuchatel.  Perhaps this was a second club founded by Kaeser but until CKR finds another source than Cailliez for this information, she is not including.  "
Club Aeronautic of the Aube : Club Aeronautique de l'Aube,Regional,"AeCF, from at least early 1908",France,"Troyes, the Aube","23 Place de la Bonneterie, Troyes (at least 1907-1910); Parc d'Aerostation, 19 Rue de Gournay, Troyes (at least 1910)",,,1901,1982 or later,"1:5 Aeronautics 44 (1907); 1:6 Aeronautics 37 (1907); 2:3 Aeronautics 37 (1908);1909 Motor Cyclopaedia YB 110 Misc.;  1910 Annuario dell' Aeronautica Primo 375 (Sept. 1910); 1911 Aero-Manuel 268, 486-487 (1 Oct. 1910);  WorldCat.org and WorldCat-OCLC; ","The Club Aeronautique de l'Aube was founded 1 Sept. 1901 at Troyes, the Aube, France.   It began an annual bulletin in 1903; the fourth annual bulletin is dated 1907.  By 1910 there was a second section at Romilly, which see.  The club co-published Aube-Sports, a monthly review with the Union Motocycliste et Automobile de l'Aube and Association Sportive de Troyes et Sainte-Savine, 1932-1935, and the periodical Aube Aeronautique, 1936-1939.  Then, in 1982, puiblished Lien d'Informations des Aero-Clubs.  ","In 1910, the club included some 26 active members, including officers, and nearly 70 honorary members.  Officers, 1910, included:  H. Joanneton, president; Adre Vital and Xavier Lemaire, vice presidents; Paul Pannetier, treasurer; and Henri Protat, secretary.  Honorary President, 1910, was  Lemblin-Armant, mayor of Troyes.  In addition, there was a separate section at Romilly, which see.    ",,
"Club Aeronautic of the Aube, Section Romilly : Club Aeronautique de l'Aube, Section de Romilly",Local,"AeCF, through its parent club",France,Romilly,,,,1910 or earlier,,"1911 Aero-Manuel 268, 486-487 (1 Oct. 1910)","The Section Romilly, Club Aeronautique de l'Aube, was founded on later than 1910.Section de Romilly","The Romilly Section had some 16 active members in 1910, including officers.  In addition, there were some nine honorary members.  Officers, 1910, included:  C. Ledru, president; P. Raverdeau, vice president; P. Recquer, secretary; and A. Plazenet treasurer.  Clement was one of the honorary members.",,
Club Aeronautic of the Ottoman Empire : Club Aeronautique Ottoman,National,,"Turkey, Ottoman Empire",,,,,1913 or earlier,,"FAI Reunion du Bureau Proces-Verbal, 15 Dec 1913, p20 (1914);","In December 1913, the Club Aeronautique Ottoman asked for affiliation with the Federation Aeronautique Internationale.  At the time of the FAI Bureau's meeting 15 Dec. 1913, the Club had supplied a list of its founding members and club officers but not the other documents required for FAI affiliation and the Bureau postponed consideration until its next meeting.   Due to the World War, however, it appears that neither the FAI nor its Bureau met from 1914 through 1918.   ",,,
Club Aeronautic of the Seine : Club Aeronautique de la Seine,Regional,,France,"Saint-Denis, Seine","42 bis Rue du Fort de l'Est, Saint Denis",,,1910 or earlier,,1911 Aero-Manuel 268 (1 Oct. 1910); 1910 Annuario dell' Aeronautica Primo 372,,"Officers, 1910, included:  A. Cabasset, commissioner general, and Bouchain, general secretary.",,
Club Aerostatic of Batavia : Club Aerostatique de Batavia ,Local,,Dutch East Indies,"Batavia, Isle of Java",,,,1910 or earlier,,1911 Aero-Manuel 268 (1 Oct. 1910),Ballooning club in what is now Indonesia.,,,
